ax,ay,az,gx,gy,gz,flex
21485,-529,-2539,34,68,0,367
21397,-1206,-568,91,137,8,376
16553,9,264,65,141,-42,377
21122,1166,441,69,4,-84,383
22633,-98,-3785,101,46,-58,401
19014,-215,-3461,245,-7,-57,437
21240,1019,-666,287,-47,-56,478
23358,2039,-2147,267,-57,-30,511
21103,2245,264,223,5,9,515
20701,1882,3755,56,31,-26,530
22113,2029,-4099,77,-70,-79,531
23613,2412,460,-21,95,-10,533
23937,1814,-4403,-3,40,18,535
30536,3981,-7472,38,194,117,535
26938,5060,-11041,167,331,226,528
26751,7854,-7384,159,484,357,495
24035,9335,-9561,262,457,477,454
25800,11502,-3687,303,530,572,426
18867,13895,372,359,379,572,404
19779,11473,5462,405,275,572,388
21279,12473,9590,446,219,572,383
18131,11914,12316,434,232,572,382
14434,8649,15886,487,75,572,384
17396,11522,19308,536,30,572,396
8423,9698,23927,491,26,572,403
8178,12130,29723,382,-43,572,391
392,14052,31635,256,-115,572,381
-1029,11296,-29998,128,-138,572,378
-10963,8237,-27811,126,-13,572,369
-23113,8394,-26203,29,-131,572,364
-20583,2177,-24664,-81,-137,446,363
-20240,-2265,-31293,-165,25,325,362
-23054,-6374,24496,-168,89,141,361
-16023,-7109,17200,-100,-52,-66,365
-8413,-6825,14974,-29,-45,-151,370
-7158,-6158,15513,7,42,-174,374
-9776,-5520,18092,43,148,-224,384
-14130,-3971,20926,100,170,-342,401
-14278,-1814,26192,174,147,-488,429
-11159,813,29095,184,191,-572,457
-14140,5285,29183,120,223,-572,467
-9482,8531,31694,-83,62,-572,467
-715,6354,31703,-180,92,-572,468
58,4403,29674,-134,223,-572,469
-3108,5952,29075,-101,152,-572,468
1314,11238,26849,-152,-49,-572,467
8443,14974,26045,-228,-128,-572,467
8119,14434,23682,-291,-148,-572,468
8296,18543,20554,-316,-332,-572,468
9463,20799,14385,-380,-555,-572,468
10786,21279,3667,-459,-572,-572,466
16082,18112,-4069,-464,-572,-572,458
23054,13934,-8737,-395,-572,-550,452
-30842,13091,-9237,-317,-572,-404,449
-32460,8580,-11777,-293,-292,-174,434
-32244,6648,-9629,-234,-150,27,421
24810,4079,-5462,-162,-4,109,412
19661,1745,-2579,-97,-15,43,401
20387,2275,-480,-97,-61,1,393
22838,2490,-382,-131,-92,13,387
20936,176,-2098,-133,-31,23,378
19122,588,-2314,-81,-65,0,372
21309,1500,-1088,-71,-98,10,369
21240,-49,-872,-80,-40,32,367
19455,-647,-951,-47,10,26,365
19465,-107,911,-51,9,33,361
