ax,ay,az,gx,gy,gz,flex
20632,539,1980,-54,7,-48,366
19897,941,1539,6,-3,-71,366
21475,1951,1578,32,-37,-81,367
21613,2431,1049,21,-40,-58,368
22701,3520,-921,32,-30,-27,369
25310,4040,-1127,22,-19,7,369
29575,5030,-1990,-31,212,102,369
26026,5422,-7070,-2,416,176,369
25623,5834,-6246,72,448,221,369
26045,8217,-5579,95,550,284,370
26712,7315,-5246,83,572,410,370
20053,7089,-3049,176,572,487,370
18396,10306,1882,239,513,509,371
19102,8786,6835,216,525,572,371
16739,9051,10247,225,562,572,371
8776,8462,14817,254,511,572,371
10120,8315,21554,191,386,572,371
5020,6805,20897,107,404,572,371
1137,6531,24515,137,257,572,371
-1814,6874,25859,105,255,572,373
-6893,6511,26222,4,101,572,373
-3530,6991,28605,-7,-8,572,372
-9874,6168,26045,-71,174,572,372
-17229,4069,24643,-104,-13,572,370
-15650,2863,26026,-80,-96,529,369
-18210,1941,24947,-92,-26,453,369
-19946,107,22907,-145,-61,409,367
-16151,-2647,19857,-120,-33,337,366
-13964,-4471,16052,-68,33,250,368
-25898,-6609,13562,-80,182,161,368
-17837,-7482,12375,60,-49,-6,370
-2549,-4501,15778,88,-77,-6,371
-6158,-6187,20828,58,-81,5,370
-7560,-4805,23731,32,-80,-37,370
-11463,-5540,23260,12,35,-88,369
-13052,-5589,21662,54,87,-176,369
-20279,-5040,21495,68,89,-257,370
-18543,-1157,22956,45,-151,-331,372
-13267,-1431,24123,-80,-73,-376,373
-13258,-2853,22701,-85,-30,-451,373
-14297,-755,21368,2,-139,-549,373
-6079,1421,22956,-49,-240,-564,374
-1323,353,25143,-144,-145,-557,375
-4118,-49,21809,-106,-100,-572,375
-2785,2177,20416,-65,-249,-572,376
5069,2157,22986,-173,-300,-572,376
6668,3049,21475,-252,-153,-572,376
4540,2559,16906,-183,-192,-572,376
7825,3167,16778,-98,-286,-572,376
9963,5775,16798,-114,-330,-572,377
10512,7276,14572,-137,-384,-559,377
13287,9698,12581,-127,-521,-532,378
19259,9767,9855,-140,-572,-453,378
20544,9551,6403,-174,-510,-357,378
19161,7992,4295,-223,-426,-302,378
19161,6854,1225,-203,-416,-272,377
21083,6285,911,-150,-356,-232,378
20269,5893,323,-128,-334,-183,377
21799,6021,-235,-126,-284,-162,377
21093,5422,-2216,-116,-239,-131,377
22917,4589,-2785,-79,-242,-91,377
23692,6266,-3638,-47,-195,-52,377
23564,5422,-3746,-52,-151,-47,376
22456,4295,-4373,-39,-127,-17,376
23005,4667,-3696,-13,-147,6,376
23005,4540,-3559,-7,-78,3,376
22623,4118,-2843,4,-31,11,376
20779,3579,-2324,14,-29,25,376
20740,4059,-1343,12,-49,16,376
21122,3491,-1225,-6,-25,26,376
19897,3314,-1137,-8,-19,35,376
20622,3039,-1000,-20,-13,32,378
18955,2726,-1392,-5,6,27,376
19377,3314,284,-13,-35,10,377
21211,2549,-421,-40,35,16,377
20044,2520,-2735,17,98,16,376
18151,3020,-1137,61,39,2,376
20769,3696,-284,56,7,3,376
20446,3138,-1255,77,48,1,376
21524,3461,1961,1,82,49,375
17357,2392,823,-82,75,82,374
16651,1990,-578,-67,-15,22,375
22731,3059,2088,-97,-23,12,376
20789,1049,843,-126,37,30,377
