ax,ay,az,gx,gy,gz,flex
17592,23005,14327,-58,94,104,534
18749,25241,10777,-94,-41,137,532
21976,28006,5962,-91,-262,187,525
24770,28369,3834,-53,-393,325,515
28536,31566,637,-2,-390,458,509
29271,-30724,-2755,40,-266,572,499
26222,-29371,-5697,124,-201,572,485
24751,-27596,-9090,212,-208,572,471
22368,-27409,-11267,285,-231,572,453
21789,-27076,-13611,379,-258,572,442
21809,-27929,-13434,488,-304,572,434
19887,-30214,-12012,572,-220,572,427
15964,31801,-9492,572,-122,572,424
11012,26751,-5893,572,-39,572,424
5766,19445,-1823,572,18,572,427
1137,18151,2941,572,-8,572,433
-764,14474,7609,521,-111,529,436
1098,10590,10247,429,-162,434,439
1206,6178,10855,357,-193,336,441
4962,4216,12522,273,-206,262,446
8982,58,12924,236,-134,206,451
16798,-11581,19877,296,58,201,455
11081,-14993,-27302,460,236,86,464
-784,5089,24535,76,-107,-150,470
16876,-16562,16072,-230,-266,-23,469
12071,-13925,-1618,-401,14,86,465
7658,-20750,-9678,-263,10,114,463
5717,-19328,-10022,-3,-31,-48,466
10836,-15415,-3196,131,-172,-227,470
18622,-13081,3373,126,-137,-181,473
21230,-13248,3000,34,-3,-30,474
18151,-13454,1098,-15,62,52,476
14317,-15013,-353,-16,41,70,477
12395,-15778,-431,-5,19,56,478
10826,-15582,-509,19,-13,36,479
12610,-14738,343,46,-44,3,480
14552,-14287,1421,43,-35,-4,482
14464,-14278,1618,8,4,3,482
13640,-14366,1127,-18,7,10,483
13326,-14591,372,-21,0,1,484
13689,-14454,382,-18,5,-7,484
13179,-14631,313,-15,5,-10,485
14091,-14670,558,-11,-5,-8,485
14189,-14464,558,-9,-1,-1,485
13738,-14474,107,-5,2,8,485
13581,-14611,294,-7,0,0,486
13719,-14846,961,-11,11,1,486
13248,-14601,853,-12,7,0,486
13866,-14601,-196,-16,0,-9,486
13297,-14905,578,-7,1,-5,486
13836,-14395,1353,-16,-5,5,486
14032,-15023,284,-10,7,10,486
