ax,ay,az,gx,gy,gz,flex
20240,-2726,3863,-44,-11,-19,379
20083,-2353,3147,-23,-3,-16,380
19416,-2206,2941,-17,-9,-17,380
20975,-1814,3206,-9,-2,-16,380
20514,-1294,1941,6,7,-15,380
18955,1490,1784,29,-9,-29,391
22034,2804,1098,46,-49,-15,401
23682,7854,-1519,61,-137,7,410
25427,9924,-6550,133,-280,-27,411
28055,11120,-9659,269,-317,-36,413
27163,17180,-7972,336,-309,58,413
26359,17406,-6285,378,-208,188,413
18131,14278,-8953,431,-152,222,413
15631,10865,-10590,534,-288,103,405
21985,5628,-7178,572,-378,36,413
22515,2765,-3667,572,-317,69,416
25869,-3285,617,572,-237,134,421
24398,-7040,4040,572,-222,196,417
23888,-9835,9325,523,-187,291,428
17680,-9541,11944,382,-127,365,441
9237,-8884,9727,230,-120,344,437
1186,-8766,2814,163,-345,157,439
-32126,109,2735,572,-230,-40,411
-13326,11012,-31587,-208,-139,-90,411
26222,-49,-8482,-572,-197,74,406
17818,-18288,32195,23,154,-33,413
18220,-12218,-6325,278,-2,-140,414
20279,-13395,7452,111,101,11,412
10757,-9110,666,-56,73,81,411
7776,-9580,-3706,-40,-2,30,414
10845,-11355,-2333,14,-55,-61,419
19141,-14474,-2471,-20,-60,-66,421
21289,-13983,-5864,-16,7,3,423
19073,-11620,-5187,2,34,67,423
14091,-11679,-2667,8,50,79,422
10718,-11375,-1519,-15,22,39,423
11904,-12238,-3177,-26,-24,-20,422
15435,-13022,-4118,-8,-53,-62,424
18661,-12179,-3746,2,-22,-32,426
17710,-12208,-3236,9,19,19,426
15131,-12061,-2883,8,32,30,426
13591,-12159,-3147,13,22,7,426
14258,-12581,-2373,3,6,-8,427
14846,-12532,-2481,-9,-9,-16,426
16151,-12542,-3343,-11,-8,-12,427
15866,-12405,-3559,3,6,-5,427
15915,-12414,-2343,3,0,6,427
15356,-12424,-2745,-6,4,16,426
14287,-12375,-3000,-2,6,11,425
14434,-12414,-2275,-6,-5,-3,425
15258,-12287,-2706,-11,-5,-9,425
15582,-12032,-2579,-9,-7,-8,425
15807,-12532,-2441,-17,-2,-4,423
16072,-12797,-2951,-20,1,2,425
