ax,ay,az,gx,gy,gz,flex
3873,19524,9992,-124,-36,2,513
4942,18877,11022,-159,7,17,513
5422,18396,11238,-164,19,36,513
8609,18288,12150,-163,-25,47,509
12150,18259,12414,-141,-74,82,495
17102,21740,9992,-128,-142,143,473
24780,23927,7462,-138,-191,244,447
27830,24153,5393,-144,-88,390,410
27722,28536,3422,-114,-120,520,370
30791,-31930,2137,-17,-281,572,345
-29547,-29273,431,159,-274,572,325
-29106,-20447,588,281,-252,572,314
-28047,-15514,-382,375,-246,572,313
-32734,-16269,804,471,-321,572,312
-31528,-16779,-1196,543,-435,572,311
28330,-21369,254,572,-350,572,308
21299,-22389,3098,572,-366,572,304
14336,-28547,4128,572,-396,572,301
10237,-32695,4844,572,-366,572,297
7639,28536,5511,572,-303,572,295
2490,25163,6393,572,-262,572,293
558,22731,12738,572,-291,525,292
1157,19259,22083,545,-178,413,292
666,8953,31752,439,-25,365,290
-441,686,-21761,337,244,359,289
-6942,-14493,-29528,58,327,258,288
-9031,-17955,19897,-101,90,71,289
4030,-15592,7256,-180,-174,-44,292
10522,-17690,-1274,-144,-100,6,294
6776,-18014,-1068,-58,19,41,296
5040,-17484,3912,3,48,17,297
6285,-17102,8031,30,69,-9,299
7599,-17327,9119,33,59,-15,300
8168,-17523,8717,27,52,-4,301
6550,-17739,8237,23,48,-3,302
6325,-17484,8590,11,6,-22,303
7472,-17259,8551,-4,-13,-23,304
7766,-17092,8413,-10,6,-7,304
7747,-16896,8502,-20,19,0,305
8041,-16592,8119,-26,38,1,305
7874,-17690,7354,-14,53,3,305
7403,-17229,7668,-9,52,2,306
7472,-17406,7756,-12,36,-4,306
7815,-17720,7717,-2,35,3,307
