ax,ay,az,gx,gy,gz,flex
23182,24035,3392,-48,-312,331,524
26683,27624,2843,-55,-286,456,503
25182,28742,2088,-85,-247,542,469
28075,32409,2167,-67,-175,572,419
28448,-32646,-392,-49,-250,572,345
30625,-26929,-7286,81,-227,572,295
24398,-29498,-9845,236,-172,572,264
29477,-25997,-7413,351,-262,572,251
28546,-30489,-9992,428,-215,572,250
25996,-28263,-10610,563,-214,572,256
22897,32390,-11757,572,-270,572,260
21348,29821,-13140,572,-301,572,264
20799,29026,-9512,572,-210,572,267
15091,25241,-8286,572,-167,572,270
14062,21250,-7276,572,-187,572,272
14278,19357,-2873,572,-194,572,274
10433,16533,990,572,-144,559,275
8717,12826,4197,572,-223,499,277
12581,8688,8757,572,-229,464,278
9227,5746,13287,495,-185,467,279
10914,3098,16307,396,-154,447,279
9237,500,17641,293,-177,407,280
13091,-2431,16298,241,-174,358,281
6050,-1608,12601,244,-104,277,281
-10012,-5697,23790,334,-123,90,268
31311,-8364,-628,-164,-572,-168,275
18288,-5266,17818,-46,109,144,279
7403,-19524,-8659,24,95,-85,281
-2137,-15513,11532,91,165,-70,281
-5020,-14562,12159,-64,-12,-90,281
4775,-16072,10345,-109,-100,-101,282
16151,-16984,13003,-102,-100,-56,283
13689,-16543,9992,-104,-74,16,285
8158,-15219,10600,-90,-3,44,286
5520,-14013,14101,-88,46,24,287
4814,-11640,16651,-85,79,-17,288
5609,-9139,20220,-119,113,-68,288
9904,-7129,23515,-209,207,-116,289
9669,-5736,21848,-299,277,-149,290
7050,-3481,17631,-390,275,-199,292
6001,-1314,13787,-471,240,-257,294
7413,19,11620,-505,267,-298,298
10120,2461,9845,-563,352,-355,302
9865,4912,7295,-572,393,-393,305
9012,6756,4922,-572,403,-440,309
14827,7158,3510,-572,441,-509,315
19014,9992,4314,-572,563,-542,320
17886,13758,3765,-572,572,-531,326
21544,17680,4187,-555,572,-572,333
22525,21652,3638,-534,551,-572,357
15905,24761,-1755,-352,141,-572,406
-22447,28163,627,-229,-65,-572,476
31331,28183,-3392,-165,300,-572,534
19740,-31440,-5109,-93,106,-572,547
22888,-24575,-5824,-193,-234,-572,553
29938,-28449,-4814,-269,-258,-572,553
31125,32135,-3824,-222,149,-572,553
19063,30674,-2343,-107,430,-572,552
15003,30350,921,-9,439,-572,550
14787,32586,3343,55,357,-572,549
15807,-32617,2686,64,308,-572,548
13954,29546,2912,67,248,-491,547
11228,26663,3442,78,173,-372,547
9620,24545,4854,77,107,-268,546
8090,23103,6099,61,66,-224,545
8325,21269,6776,62,49,-204,545
8364,20936,7139,81,34,-147,545
