ax,ay,az,gx,gy,gz,flex
4814,19906,4667,-20,140,100,537
9865,22446,4785,-33,147,105,537
12218,24113,1843,-30,131,117,537
19524,25486,3020,45,124,221,537
21701,29762,4030,62,197,350,537
19642,30850,4765,39,222,441,535
22731,31066,6452,-36,206,529,525
25516,32419,7315,-198,179,572,499
25810,-30400,5501,-345,45,572,459
27320,32164,7080,-410,-36,572,425
28693,28144,5775,-405,-12,572,387
24849,25584,4746,-378,-30,572,369
24574,22554,4059,-246,-196,572,344
27781,20916,5295,-136,-259,572,312
29203,22927,5462,-165,-165,572,289
23907,17249,3765,-160,-141,572,280
20946,18504,117,-108,-171,572,279
24211,15964,-2412,-20,-354,572,280
26408,16278,-5177,83,-364,572,284
22613,15033,-9629,227,-397,572,285
18612,17298,-8070,348,-364,572,288
11326,14601,-4854,358,-335,572,290
5275,11855,-1755,406,-316,572,292
2029,8551,4128,419,-358,527,294
2873,5707,10365,385,-363,415,295
911,2382,14121,319,-354,328,296
4206,-1667,18847,260,-345,250,297
4648,-5599,19249,144,-255,194,298
2147,-9306,12846,87,-218,127,299
-647,-7560,5530,135,-193,40,300
-5344,-19828,-22330,205,-264,-105,272
8492,-25202,-6689,-291,-262,-65,285
6364,-19651,-4559,-210,-246,-48,297
20338,-21093,-14886,-74,-42,11,300
7217,-19279,7413,178,278,56,299
-5677,-16141,8070,58,106,-34,300
862,-14395,3285,5,-34,-44,302
9855,-16808,5393,-39,-38,-41,301
10639,-18632,5981,-26,24,-6,302
5570,-18024,5373,-21,21,-14,302
5452,-18455,5462,-26,-29,-27,302
8423,-18602,4638,-28,-44,-36,303
10836,-18700,4471,-20,-8,-16,303
8609,-18749,4854,-10,8,-3,304
6580,-18102,4618,-7,0,-8,304
7658,-17533,4589,-12,-19,-11,304
8874,-17729,4354,-9,-16,-6,305
8570,-17778,5011,-5,-11,-4,305
7344,-17739,4814,-14,-9,0,305
7756,-17847,4550,-16,-17,-3,306
8129,-17984,4942,-13,-21,-7,306
7854,-18043,4128,-8,-40,-6,307
