ax,ay,az,gx,gy,gz,flex
15494,20250,4059,-21,-249,48,493
18877,18269,245,23,-327,46,487
20240,19387,-2990,183,-293,75,487
22074,22917,-5403,325,-275,168,481
24957,26839,-7237,405,-219,302,483
22515,29203,-10600,446,-87,406,484
19024,30576,-13473,535,-109,435,479
20083,32380,-13905,572,-132,411,474
21505,-32724,-13748,572,-54,414,471
20289,30840,-13199,572,40,446,469
17494,30556,-13738,572,35,438,468
17406,29311,-13071,572,-38,407,468
19220,26790,-11296,572,-22,407,459
16670,24045,-11493,572,18,398,446
15356,21034,-11022,572,2,376,426
15464,19024,-9816,572,-17,347,405
17631,16258,-7168,572,26,328,383
13758,12159,-3912,572,146,334,361
8178,11267,-1372,572,132,329,343
7580,9345,2510,554,58,301,330
8217,5109,5295,453,40,268,318
7305,2598,8355,417,89,244,316
6893,1284,12189,361,117,225,314
4216,-2461,15964,197,102,209,310
5099,-9590,21917,247,26,127,306
9865,-8011,20642,100,9,61,303
10669,-13768,9041,-121,57,103,300
9012,-18730,-2206,-106,-66,80,297
14582,-17857,254,73,-5,48,296
10688,-15543,7237,63,107,26,294
12110,-13925,10012,-21,19,13,294
14846,-14915,3608,-69,0,23,298
12169,-16151,-68,-7,45,16,301
10590,-14915,4824,12,38,2,302
10973,-15091,6138,-31,9,-1,304
13169,-15768,2108,-37,3,2,305
12512,-15641,2304,-2,7,-1,306
12434,-15425,4932,-8,4,-2,306
12199,-15660,3932,-36,6,-3,307
14150,-16092,2010,-26,19,1,308
12238,-16268,2549,7,39,0,308
10747,-15729,5275,-7,15,2,309
12895,-15415,4795,-36,10,5,309
13709,-15601,3785,-29,41,6,309
11591,-15013,5893,-22,30,10,309
11542,-14395,9639,-77,22,21,309
9168,-14248,11002,-154,21,21,310
6138,-12679,11963,-222,51,0,311
4020,-9894,11571,-288,78,-33,312
3412,-7060,10286,-356,79,-73,316
3873,-5893,9325,-397,66,-132,326
3785,-4873,8021,-379,101,-230,344
5883,539,7001,-367,132,-323,366
8384,3971,4873,-394,164,-383,391
8580,6619,3481,-439,147,-441,413
11277,10139,1804,-472,88,-519,429
17357,15003,607,-550,78,-484,440
19396,16935,-1922,-572,121,-451,448
18553,15680,-3461,-572,181,-507,454
21446,20593,-3863,-560,276,-572,465
25212,25065,-6168,-528,315,-572,472
25153,23250,-4138,-458,267,-572,477
24545,25722,-1088,-363,266,-572,475
28114,30458,-1353,-324,333,-572,488
31125,29615,853,-288,443,-572,494
26565,27143,3755,-211,552,-572,504
24408,27634,6746,-71,572,-572,508
17161,28889,6472,-11,489,-572,508
15033,29016,7276,-4,195,-572,506
16651,28820,7188,-7,-41,-572,503
18180,26281,7197,-33,-211,-564,511
19112,22976,4893,-52,-286,-354,512
18112,20799,4687,-17,-267,-173,511
14856,20289,6580,-1,-179,-53,508
12218,19926,8021,-33,-74,12,505
11934,18592,8953,-76,83,60,502
10571,18534,9600,-81,233,138,501
4295,18887,9570,-101,245,186,489
