ax,ay,az,gx,gy,gz,flex
4726,16504,10228,39,-51,15,485
10404,19975,9933,99,-163,-54,486
16131,21269,9217,108,-235,-44,492
18779,21289,4285,104,-276,50,496
20681,22770,-902,150,-302,169,500
22358,24221,-3883,202,-259,295,501
20328,26349,-5707,253,-182,407,502
17739,28379,-7639,307,-185,464,501
17170,30360,-9208,368,-215,484,501
19475,-32381,-10335,428,-189,502,499
19289,-30489,-11267,482,-93,534,498
17680,-29763,-12434,544,-85,543,495
18583,-30283,-12483,572,-123,506,483
18828,-30822,-15386,572,-97,476,472
18543,-30263,-16651,572,-125,446,462
19102,32027,-14591,572,-98,408,455
16955,28232,-14778,572,-30,354,448
15945,25192,-14719,572,10,307,433
14954,22750,-13346,572,2,315,417
12022,22809,-9639,572,30,314,406
10512,18838,-4069,572,65,292,382
8041,16798,303,572,85,299,357
4638,14787,4373,572,-29,265,332
5766,11561,8933,340,-140,256,310
7776,3363,14405,263,-198,192,296
12316,176,18239,309,-65,116,290
19759,-8168,29242,304,123,118,282
11179,-6334,29350,61,409,127,284
-2353,-15072,8188,-159,86,48,291
5805,-15592,-4687,-153,-173,-24,293
15337,-16827,-7845,-36,31,-9,296
12718,-16307,-1745,116,167,3,297
15307,-14464,7354,85,13,0,286
17543,-13846,7384,-21,-9,20,285
15601,-14287,-676,-25,47,30,289
12503,-15278,-2373,32,78,49,286
11120,-14709,6511,21,23,18,281
