ax,ay,az,gx,gy,gz,flex
3765,20073,7237,-56,18,23,460
5040,20308,6638,-20,-4,35,465
8286,21250,6128,22,-37,69,472
12130,23613,6266,7,-26,174,480
12414,25673,5246,-41,-35,283,487
13846,25457,4628,-52,-72,358,491
18455,26585,5079,-43,-31,450,493
16347,27340,2628,-46,2,520,493
18573,27595,2147,22,-115,572,494
22368,29026,1745,102,-156,572,494
24358,31301,264,162,-167,572,492
25388,30782,-568,204,-134,572,488
25290,29320,-784,228,-60,572,480
22378,27644,-1637,254,15,572,471
21858,25506,-1470,304,2,572,461
20965,23652,-470,306,9,572,447
18994,19749,-1382,323,22,572,434
16710,14895,-931,394,-54,572,422
18602,14925,-176,420,-55,572,414
13248,9963,1029,392,41,572,405
10247,7050,2275,375,39,572,398
9992,5344,4520,347,42,572,394
9296,2961,5736,305,78,529,389
7482,107,7609,257,90,511,382
6001,-872,9835,178,48,459,379
3589,-3961,10355,127,27,379,376
4167,-5550,11493,105,7,320,373
3304,-7639,12807,73,19,263,369
2265,-10022,13797,48,-2,204,366
3824,-11934,16033,2,44,159,360
1519,-15091,18641,-21,64,99,355
4461,-16052,16219,-80,9,32,351
7913,-16376,9257,-104,19,18,347
11649,-14268,3991,-116,40,28,344
10257,-17053,2157,-75,104,76,341
4638,-17112,7580,-2,55,73,338
3795,-17514,12081,-22,-2,44,336
4824,-18092,9404,-50,25,15,336
6609,-18033,6560,-32,-1,0,333
