ax,ay,az,gx,gy,gz,flex
21171,460,-1637,8,35,-55,340
20652,2029,-1255,33,1,-50,342
21652,2373,-1961,18,-74,-31,344
21083,3647,-3275,9,-159,-25,351
24074,4167,-6481,23,-186,1,363
24976,3500,-11051,76,-259,53,373
25094,5972,-11944,139,-220,145,378
23378,11493,-14474,193,-237,210,380
19298,12826,-16376,277,-259,234,380
17298,10875,-15160,443,-366,233,380
16925,13679,-12973,572,-340,228,378
14984,9982,-10188,572,-235,199,374
13160,5599,-7266,561,-153,193,366
12189,539,-5393,555,-132,129,356
13091,-2902,-2314,492,-150,112,351
15484,-6599,706,437,-96,91,341
15386,-8609,3353,367,-22,86,334
20112,-12767,8247,335,16,52,330
21289,-14062,11424,258,96,129,328
17053,-17533,10002,210,141,150,326
16033,-18700,11698,281,78,95,324
17053,-16857,15160,238,-16,94,322
17327,-18632,14238,189,4,90,319
12287,-15042,11218,170,71,93,315
10953,-15386,8394,155,46,76,313
10404,-13797,8815,153,85,52,316
5932,-14503,5266,74,-11,7,316
11473,-16504,11316,53,-107,-43,318
15082,-15650,16288,-68,26,13,319
12846,-14582,6766,-151,3,47,319
12375,-18779,-137,-67,-76,-23,319
17720,-16915,1372,-14,-35,12,319
12228,-15798,833,-22,33,70,319
9051,-15690,794,-22,12,45,319
10855,-15690,4236,6,-44,-21,319
15062,-15552,4471,1,-37,-34,320
13670,-15592,2196,4,-13,-20,320
13042,-16533,3069,19,-12,-13,321
14444,-17170,5687,23,-19,4,323
13444,-16729,5167,-5,-5,26,325
12993,-18249,4854,-6,-38,10,328
18230,-19034,11090,8,58,56,332
15650,-17827,14552,-80,269,135,337
10482,-18386,13571,-181,241,94,342
11267,-18082,12346,-200,159,1,348
12934,-15729,12071,-200,182,-17,356
11483,-15180,10120,-281,174,-47,361
9924,-15101,6844,-329,173,-72,367
15788,-16131,5030,-274,175,-66,373
13081,-13993,1333,-215,290,-78,378
13601,-15239,3275,-218,209,-110,380
12395,-15111,3500,-236,261,-95,381
11542,-14327,372,-219,224,-102,382
11640,-14189,911,-150,191,-170,383
14062,-13866,1725,-177,150,-223,384
15856,-12297,1529,-192,171,-215,385
13993,-11659,-382,-197,322,-172,384
12679,-9845,1500,-204,228,-222,384
14376,-7393,-617,-181,88,-287,385
18504,-5138,-137,-140,72,-289,386
17622,-4854,1049,-157,148,-249,384
14572,-3687,-1372,-94,1,-261,383
19181,-1029,470,-46,-114,-278,382
20132,-1363,2265,-113,19,-238,380
16062,-1186,-196,-131,37,-221,377
18249,-186,-1304,-100,-10,-233,373
18965,-98,39,-75,12,-238,372
18916,2059,1010,-117,-15,-220,370
19367,1706,-519,-150,6,-195,367
18838,1480,-264,-156,-1,-174,366
21976,774,-1539,-123,-21,-165,364
22907,853,-2343,-69,1,-149,364
21348,1510,-1225,-43,-26,-94,363
21515,1470,-647,-69,-28,-53,359
19230,1304,-1588,-48,-22,-54,359
18936,1461,-1892,-20,-35,-79,358
21593,2843,-745,-28,-89,-74,357
24035,1833,-1166,-48,-8,-42,355
23123,1265,-1863,-36,38,-34,352
23201,2108,-735,-17,29,-33,352
22113,1559,862,-37,12,-9,351
22848,1304,-78,-29,8,-11,350
23456,2010,196,-17,22,-13,350
20877,1569,598,-27,16,6,350
21623,1941,313,-43,-15,14,349
21417,1166,-411,-40,4,9,348
20720,1294,-411,-20,9,9,349
20877,1588,-147,-22,-9,9,349
20485,1627,-156,-31,0,8,349
20348,1206,9,-46,15,10,350
20161,1176,-500,-22,15,7,349
19818,1784,-186,-14,6,0,349
20730,1235,1265,-46,0,10,347
20740,411,-274,-40,14,6,344
20112,1519,-205,-2,4,-6,345
20730,1618,1078,-31,12,7,342
19710,372,-78,-42,15,10,341
