ax,ay,az,gx,gy,gz,flex
24241,21103,-1402,35,-123,165,547
24849,24202,-853,58,-89,244,545
26094,27565,-127,120,-134,307,541
-28890,-30822,2637,161,-100,435,522
-25762,-21153,1863,141,123,572,503
-27439,-11651,1735,71,179,572,492
-29890,-7630,3785,-66,141,572,469
30840,-9415,4736,-92,58,572,444
26281,-13102,5158,-11,13,572,400
17769,-15936,5216,9,-9,572,398
7884,-22487,5216,-8,18,572,382
549,-29400,5491,-22,105,572,371
-7688,30605,3314,-90,205,572,363
-16376,23142,-176,-183,193,572,355
-24849,15376,-2971,-241,85,572,350
28488,6727,-5511,-235,-64,536,343
20231,1990,-4677,-218,-165,294,342
15838,186,-902,-220,-21,-59,344
16466,5805,-961,-100,147,-572,356
27449,18504,1618,76,70,-572,368
-19328,30840,8933,95,-4,-572,378
7580,-24320,9002,-142,-504,-572,380
-13357,-1001,-11836,-499,-572,-572,375
29065,-25125,6375,-329,-207,-419,370
-4031,12150,19760,240,293,260,372
2549,10953,-9365,389,361,572,381
-23124,4363,4481,241,223,572,389
22525,11345,8453,194,325,572,397
-333,17553,6040,17,379,572,402
-14464,13777,1990,-113,198,572,403
-25653,12748,-3000,-140,-83,512,404
-25516,9325,-3961,-191,-208,350,402
-27781,5511,-3942,-218,21,217,400
31283,1941,-4030,-119,185,-77,401
-31507,7080,-1490,7,165,-476,404
-24721,14738,1421,55,148,-572,406
-15621,22181,7001,117,7,-572,412
16033,-22634,12169,84,-419,-572,424
29605,-5463,2814,-336,-572,-572,421
-2550,-30783,-22015,-333,-72,-241,404
-28626,14346,-14356,101,117,109,401
9796,10316,-2382,172,214,393,404
-4237,7648,3432,120,157,572,408
-17632,7874,4324,62,246,572,411
-30861,13875,1941,-17,285,572,414
22064,15827,-2549,-159,215,572,415
15180,14395,-6197,-243,96,572,415
13689,13552,-8109,-279,138,572,416
6374,13787,-10228,-293,272,572,417
-1382,11414,-10963,-305,284,572,419
-6374,8570,-12022,-319,243,572,420
-12836,5442,-13689,-309,133,572,420
-17896,2353,-14562,-294,-9,572,420
-24358,-1539,-15690,-295,-115,572,420
-29595,-5638,-17161,-303,-167,572,418
27821,-7492,-21064,-282,-280,487,415
25860,-10512,-21358,-253,-332,324,412
20064,-9404,-23093,-239,-296,113,411
17966,-5834,-26192,-267,-436,-222,408
19280,-58,-24005,-244,-535,-553,401
21977,9610,-18563,-223,-274,-572,399
22526,17906,-18514,-17,296,-572,406
24330,31262,-13160,495,528,-572,426
-23211,1598,12777,572,221,-572,469
-558,-10964,31135,572,-227,-572,493
6913,10904,-28194,537,-363,-572,507
-26958,13993,15719,572,572,-572,540
22907,9884,-12434,-42,292,-572,533
-26782,14974,-4559,98,-315,21,531
15709,21407,431,333,-229,178,549
12699,23652,4197,451,-49,-47,549
12571,27232,9227,512,260,-189,523
-931,28193,12297,523,304,-267,555
-2667,25319,18171,459,107,-380,537
3373,27673,19063,345,55,-572,555
5864,32429,15494,222,10,-572,540
6432,-27164,10129,27,-121,-572,554
8531,-20574,5030,-105,-291,-572,553
12973,-16073,2088,-138,-366,-572,552
15611,-15230,235,-121,-398,-572,553
18887,-15907,-853,-118,-424,-572,554
21397,-18741,-1676,-121,-402,-572,556
22397,-23173,-1098,-99,-331,-490,557
20191,-28370,107,-88,-258,-400,558
18024,-32734,804,-104,-207,-305,560
16543,29203,470,-124,-205,-234,560
14474,25810,902,-147,-216,-202,560
14591,22829,539,-153,-242,-184,560
14287,20495,-333,-149,-264,-177,560
14523,18779,-1323,-150,-265,-155,560
14797,17288,-2559,-147,-252,-112,559
14709,16092,-4069,-113,-245,-65,559
15356,15798,-4599,-82,-232,-12,559
15641,15778,-5403,-51,-203,38,559
15749,16513,-5648,-9,-148,89,558
15248,17523,-5471,65,-96,127,558
