ax,ay,az,gx,gy,gz,flex
12895,20711,17268,-142,-31,79,525
15582,20799,20083,-182,-101,121,525
16611,22740,24986,-207,-163,172,523
18230,21985,26486,-256,-242,216,516
20250,22574,27683,-313,-303,234,490
24623,22525,27899,-342,-264,293,484
26300,25584,25888,-374,-164,376,449
24672,27418,25565,-463,-190,438,437
25418,25065,22044,-482,-329,471,419
28860,25418,18838,-392,-444,533,392
27251,25300,15121,-362,-454,572,355
21103,22995,10277,-366,-380,572,358
12228,19102,6599,-376,-281,572,347
3383,15758,4383,-388,-180,572,341
-3343,12601,2775,-413,-89,572,336
-16170,10620,19,-371,-100,572,327
-24702,10139,-3500,-346,-323,317,327
-20926,6325,-4461,-315,-431,131,328
-19338,3775,-2206,-283,-217,99,323
-27300,5079,-2343,-274,75,5,323
-31282,4903,-5854,-252,144,-298,330
-21064,2804,-6521,-137,110,-572,335
4334,3883,1931,-27,14,-572,343
-17152,5177,5844,-119,-27,-572,349
31478,21868,-2353,-206,-171,-572,354
-18535,13385,-23358,-90,-10,-65,354
17347,2657,-17916,105,104,344,354
-19711,794,-6668,124,71,572,355
21917,-823,-107,95,-8,572,355
5815,-862,3020,60,10,572,356
-6393,1196,3059,0,92,571,356
-18220,1127,980,-65,73,385,356
-21966,117,-990,-85,11,135,356
-21456,882,-1461,-52,-21,-100,356
-15356,2716,215,-34,18,-312,357
-11689,4363,1274,-41,111,-461,358
-6050,5972,4000,-32,101,-572,361
15425,4118,10885,-73,65,-572,363
-21535,5942,17984,-117,100,-572,366
11669,17063,19230,-304,-41,-433,369
26937,13709,6560,-290,37,-9,369
11659,7050,-745,-208,-5,227,368
-520,4726,303,-133,-31,421,368
-7267,9070,2137,-134,52,572,370
-18339,11169,2000,-132,161,572,370
-29282,14837,2451,-173,135,572,370
-32264,14689,2981,-240,85,572,370
21927,15082,1137,-267,131,572,370
13228,14787,1431,-292,90,572,369
5883,15150,1304,-353,49,572,368
-853,15131,-568,-439,16,572,368
-9973,14464,-4314,-522,-106,572,368
-15778,11493,-7462,-520,-262,572,364
-19357,9306,-10786,-488,-364,506,362
-21368,9884,-14699,-525,-372,431,360
-30164,9816,-21897,-565,-441,363,358
26350,6383,-27810,-548,-572,179,359
31273,1657,-27134,-484,-572,86,362
24899,-3579,-27114,-470,-506,-4,362
16005,1147,-31301,-487,-503,-225,362
16338,7952,29930,-572,-572,-557,363
23899,10894,26684,-572,-572,-572,364
27851,6678,26860,-490,-391,-572,367
23173,14317,-27232,-123,16,-572,376
20672,32302,-17229,207,237,-572,432
-18641,-15818,-1696,428,-5,-572,481
7413,16641,8051,568,-179,-572,512
-28370,-903,-32705,462,-199,-572,522
3951,11385,13483,461,572,-572,537
-24222,23750,4403,195,572,-572,550
-23408,-1676,1225,-72,-65,-229,557
-25546,-4206,3569,198,-96,-37,557
31007,-1461,12709,381,78,-31,558
21534,-823,16072,310,193,-40,557
17102,-5177,16258,236,192,-58,548
14699,-5638,13925,164,161,-103,541
14278,-4383,10816,106,147,-143,549
19092,-3530,9953,129,228,-187,546
17004,-1804,9316,208,343,-213,546
11846,362,10394,237,315,-214,545
11659,1627,10208,173,263,-211,545
15307,2373,10149,147,327,-203,544
10277,3579,7492,180,376,-174,544
4785,3716,8021,192,152,-180,545
9982,5962,11904,207,-55,-201,546
9698,8001,11797,155,-90,-176,546
10139,6442,9845,76,-149,-154,545
11944,7982,10237,93,-100,-216,545
10463,10924,9070,125,-74,-295,544
13062,12963,10502,139,-137,-335,543
15337,15827,11836,129,-199,-363,542
14121,17455,9678,43,-252,-362,540
18700,15945,10600,-22,-261,-353,534
21220,16768,11522,0,-106,-419,531
20632,18171,12110,65,63,-484,529
13581,21064,10345,116,135,-460,528
9129,25633,7913,72,-90,-461,527
13581,26555,6315,47,-318,-516,525
19298,27614,7011,96,-314,-548,525
22113,27663,9051,104,-143,-464,525
