ax,ay,az,gx,gy,gz,flex
20554,26016,19132,-241,-572,341,542
28016,31507,20760,-339,-572,432,537
-29390,-31450,17641,-375,-572,572,527
-26978,-30989,14150,-289,-572,572,504
-26605,-30489,10237,-196,-572,572,472
-24673,32066,7835,-9,-572,572,435
-26203,-31881,5903,152,-572,572,406
-31852,-31469,5628,192,-572,572,376
22623,30782,5246,205,-519,572,354
12287,30615,5736,163,-450,572,343
5932,24466,6079,121,-414,572,340
-1804,23819,2971,78,-401,572,334
-10012,18063,303,111,-383,572,328
-22476,15366,-2167,100,-387,572,323
-30890,6854,-4962,106,-352,428,319
27380,5570,-8668,144,-262,43,316
29508,6021,-10816,272,-211,-456,318
-24849,11306,-7129,422,-211,-572,322
-11973,18357,1127,463,-156,-572,325
-1980,21848,7825,273,22,-572,326
1941,21162,10345,125,221,-572,326
12865,20063,13836,102,293,-572,326
-18084,14689,23388,23,255,-572,320
-265,10571,24300,16,494,-572,331
20995,5383,24800,1,38,-572,330
-29724,-10482,14778,-111,-37,-112,328
3785,-15994,7256,-102,-89,202,332
-5747,-13052,8453,-102,-320,286,333
-14396,-6442,7962,-122,-307,490,334
-28890,127,5158,-128,-308,572,335
22083,5315,980,-131,-294,572,336
8453,9580,-3226,-108,-233,572,336
-5952,12316,-7472,-81,-188,572,336
-18641,11502,-12179,-45,-116,495,336
-29232,10541,-15180,30,-76,272,336
-32527,7580,-14787,138,-22,-8,336
-27193,8570,-9982,225,126,-361,337
-19936,9443,-4707,270,206,-572,338
-12944,9345,-1480,265,209,-572,339
-3069,7560,7344,272,277,-572,340
13748,8198,19034,169,113,-572,340
39,11375,29811,-58,-20,-572,342
22446,18151,26643,-94,-70,-505,346
-32234,9835,8560,-205,-506,-274,337
16199,-2284,5079,-168,-123,247,346
-15485,6393,4981,-162,-119,446,347
-20113,9757,3275,-147,-403,496,348
-21810,14179,1461,-126,-407,572,350
-32715,20014,-3461,-128,-218,572,351
23760,20112,-6246,-101,-252,572,352
17631,20897,-8325,-71,-155,572,352
12620,21456,-10129,-59,-30,572,352
4707,19828,-13464,-93,93,572,352
-980,15847,-16033,-87,144,572,352
-5216,13013,-17876,-55,194,572,351
-8149,8080,-19651,-44,217,572,351
-11041,5167,-19955,-22,230,572,350
-15876,2431,-20916,0,275,572,349
-20612,-480,-20573,16,306,572,348
-24133,166,-17965,-20,375,572,348
-30115,392,-19818,-119,332,572,348
31381,-3677,-22329,-102,32,364,348
-28477,-2373,-19857,-90,-261,119,349
-22711,-1559,-18426,-154,-280,62,350
-24584,-1147,-19740,-197,-205,81,351
-29497,333,-23339,-252,-220,35,351
-31154,1382,-26898,-285,-365,-62,352
-29468,3089,-28055,-302,-420,-118,355
-28830,8276,32391,-328,-318,-256,360
-28193,7884,22389,-277,-359,-542,368
-20642,9620,25507,-136,-412,-572,387
-11836,8815,-32459,-17,-240,-572,416
-12610,8472,-27045,54,188,-572,455
-18465,12836,-25535,311,375,-572,490
-12924,22907,-17416,572,155,-572,512
-451,-31911,-6158,572,139,-572,521
-3363,-7071,19553,572,283,-572,551
-3951,11473,22123,572,-49,-572,544
-28302,9668,-23614,572,91,-572,553
-9925,-13563,-14622,572,477,-572,561
1441,16033,-24232,82,-295,-419,550
-11641,-1147,24810,137,-463,132,563
-27125,4697,28212,108,461,200,559
12905,-3118,-31842,55,2,7,562
30370,-2039,27075,-37,-321,-36,557
28830,-1676,22123,-70,-227,61,556
21828,637,16857,-83,-238,123,542
18112,3873,12248,-109,-342,164,549
16258,2814,9217,-111,-374,197,546
13817,5854,7599,-91,-261,239,543
8276,9423,6011,-92,-158,245,537
2892,5717,4030,-162,-148,223,545
1284,3216,1804,-199,-132,139,549
-235,3275,-1441,-161,-95,-24,548
117,911,-2177,-93,-114,-192,547
4030,-1971,-4275,-78,-89,-300,547
8266,2539,-1951,-46,162,-381,546
5913,2206,-2637,-97,297,-487,545
9561,2343,1078,-63,189,-572,545
19563,8874,6001,-45,137,-572,545
26075,16298,5373,-150,214,-572,545
31184,19092,3510,-207,293,-572,544
-31489,21485,6374,-146,280,-572,545
-30351,26486,6060,-127,184,-572,545
-30165,26300,3569,-159,61,-572,545
-28959,22338,3108,-128,72,-572,545
29517,19906,3020,-34,188,-469,546
24564,20544,5393,93,157,-443,547
24211,24084,7599,157,92,-510,548
25506,27408,7590,133,33,-553,548
27712,26457,6001,35,-21,-449,548
27173,22132,4255,-52,25,-264,549
20789,18818,3716,-27,50,-125,550
