ax,ay,az,gx,gy,gz,flex
-21879,-31244,11777,-221,-214,548,511
-20574,-27625,4295,-242,-458,572,489
-14789,-20192,6540,-84,-309,572,462
-17132,-15730,1353,16,-289,572,433
-23791,-13416,-1902,64,-208,572,407
-30067,-16299,-1157,122,-185,572,373
28399,-18054,-5226,154,-264,572,338
29830,-22908,-3275,238,-185,572,317
17288,-25566,-539,315,147,572,307
-2765,-26949,1421,218,222,572,302
-17710,28193,2824,62,-22,572,298
-21652,18190,2196,18,-187,572,299
-27526,11081,843,52,-62,572,301
24919,6609,1647,65,35,485,305
20084,4265,362,32,-23,207,308
26193,4873,-1323,33,-44,-83,311
-32635,7766,-3285,69,-29,-373,313
-29517,12101,-5491,97,-37,-572,315
-28232,18465,-9247,143,-59,-572,315
-27526,26938,-10129,252,-29,-572,315
-20897,-23448,-4422,377,44,-572,317
7286,-16917,11591,363,147,-572,318
-16711,-8258,29409,374,180,-572,318
-726,6579,-30979,41,-40,-572,317
27124,-32764,6364,-168,-58,-430,315
12944,14601,7590,275,-141,316,316
29105,31968,19691,268,-84,572,317
8904,29046,20328,118,-224,572,318
-12514,-24889,23878,53,-58,572,319
18906,-13916,20269,-146,156,572,319
-20691,-14190,7707,-377,166,572,318
17848,31762,-2922,-400,-191,572,318
20045,20456,-4099,-255,47,572,318
-3530,12973,-10218,-188,124,506,317
1197,9031,-11885,-95,9,-27,318
13935,11914,-7570,80,131,-539,320
21614,23397,-4412,166,172,-572,321
27321,-30753,-8384,138,55,-572,321
-11610,-20251,4461,278,162,-572,322
27349,-13494,-32499,372,372,-572,325
5736,-6640,-21937,100,200,-572,324
-6748,-7826,26114,-300,-65,-572,323
20573,28379,1059,-289,-144,-491,323
7580,11600,7433,112,156,357,325
22250,30262,21299,91,121,572,326
4667,-30292,19495,-228,-88,572,326
-11768,-22094,10286,-355,-4,572,327
28330,-10866,1431,-457,150,572,327
3696,-9366,-8982,-544,228,572,327
-16366,-16828,-18298,-572,140,572,326
-16376,-28008,-19573,-412,230,572,325
-27398,-31822,-18131,-257,343,572,325
24428,30458,-18435,-269,278,572,324
11729,26359,-24545,-397,204,572,324
1187,17896,-32517,-414,44,572,324
4914,8913,-30821,-254,-155,324,325
13681,1402,-23937,-45,-152,37,326
17260,1706,-16102,17,-122,-85,327
12180,4991,-15984,-137,-89,-230,327
5149,9570,-25790,-325,-197,-572,328
5737,12610,29498,-198,-370,-572,334
9915,24712,30008,277,-395,-572,353
-32115,-8630,-14572,572,-563,-572,409
10139,10463,5305,572,-373,-572,533
-26811,-13690,28408,572,18,-572,585
-22006,12238,21162,127,501,-572,603
31027,26320,16023,-33,572,-572,590
11855,10865,8972,-384,367,43,581
16425,470,4530,-319,-572,360,590
13650,-6580,9992,27,-572,147,592
19377,-3569,18298,146,-342,-103,595
21211,-4187,17053,21,23,-155,576
23241,-4981,13346,-57,143,-116,584
21632,-3863,10649,-24,156,-62,583
18779,-961,9639,-18,71,-25,574
17651,323,9168,-32,-17,-35,575
15062,-19,7992,-11,-67,-45,568
12356,-764,6609,69,-153,-17,565
11748,529,4824,137,-225,26,558
12101,2039,4324,174,-226,70,556
8109,2235,4795,151,-148,73,555
7531,2608,3402,132,-169,42,540
8619,1500,2441,162,-142,-3,550
5167,323,2206,182,-128,-56,548
3746,686,2706,136,-181,-74,552
9041,-19,5158,81,-198,-139,548
9217,-2196,5305,93,-87,-199,541
245,1147,3089,24,-122,-260,546
