ax,ay,az,gx,gy,gz,flex
8413,21681,7580,-106,112,87,536
9365,23290,9492,-121,-1,89,534
20436,22819,12816,-103,-121,131,527
27438,27085,17131,-116,-113,263,513
31958,31801,19926,-173,-140,459,487
-30508,-25674,18867,-223,-210,572,451
-26046,-19966,23192,-241,-204,572,408
-25448,-13386,22397,-270,-258,572,370
-27066,-8365,18269,-305,-384,572,333
-24105,-8140,15288,-284,-499,572,304
-24428,-10337,8923,-203,-326,572,290
31498,-9160,5109,-130,-180,572,284
21858,-10670,2196,-134,-75,572,284
6844,-18878,696,-121,-1,572,283
-7619,-25556,-1451,-132,18,572,275
-19083,29801,-3236,-116,43,572,282
-31311,19769,-2834,-89,90,572,286
26223,12052,-3236,-80,93,572,287
23193,8413,-4599,-82,35,376,287
25144,5834,-6844,-60,-8,73,290
30547,6354,-7590,3,-46,-217,285
-29879,9737,-7276,42,-93,-443,289
-24349,13248,-6432,80,-89,-572,293
-23662,20485,-6589,110,-16,-572,302
-21779,-32724,-12287,78,-25,-572,302
-4912,-27017,-8355,166,191,-572,301
2481,-27233,5599,515,474,-572,305
-27351,-7816,-22840,572,297,-572,307
-32450,-22408,-1874,232,39,-572,309
26614,-24301,-24615,-99,-264,-572,308
-31509,9845,22466,7,-112,46,307
-16956,30419,25094,115,-45,572,308
22887,-27841,21142,-37,-321,572,308
3873,-16260,18671,-64,-231,572,309
23054,-1795,14572,-181,8,572,309
-9414,-3482,6844,-324,26,572,310
26792,-18142,-6638,-376,-36,572,308
13435,-30910,-12159,-251,45,572,306
-8884,25006,-18092,-176,75,572,307
-3088,14542,-20259,-34,-105,43,306
13063,13454,-13846,145,44,-393,307
20829,18377,-8168,239,143,-572,307
29400,27879,-8855,257,14,-572,306
-19799,-26370,-3844,322,72,-572,310
725,-20525,12159,372,93,-572,310
-10405,-12955,-29351,199,-21,-572,307
-21369,-25919,-19682,-123,110,-572,305
18072,-31106,-30430,-285,-233,-496,309
7727,7688,28379,-197,-232,218,309
-27782,22407,31684,-215,136,572,310
6962,27428,23976,-388,142,572,311
-9219,-26929,14689,-557,190,572,311
-27311,-22418,-127,-572,336,572,313
21868,-19917,-11738,-572,464,572,313
9904,-21555,-18347,-572,442,572,311
1598,-21428,-21426,-572,442,572,312
-7933,-25183,-23692,-572,421,572,309
-17612,-30871,-27075,-572,295,572,314
-22044,26526,-28477,-572,105,572,314
-26055,22152,-27143,-459,32,572,314
-31507,18798,-26457,-390,-28,572,314
27586,14876,-28722,-405,25,447,315
23663,11512,-32164,-374,117,243,312
22791,7197,29263,-318,60,8,320
30714,-2765,-31498,-159,-156,-139,319
-27761,-5344,-24162,-67,-108,-180,324
-30831,735,-24035,-173,-94,-221,326
31371,5364,-30399,-393,-218,-373,327
-32478,8041,27458,-433,-123,-552,332
-29978,4393,20633,-255,-127,-572,332
-29164,11032,26076,99,-65,-572,335
-22230,18279,-29124,352,60,-572,347
-18337,22809,-16915,572,249,-572,391
-7207,-32469,392,572,303,-572,483
2530,-14906,-5177,572,328,-572,563
14954,15601,-23516,572,572,-572,603
23907,-2335,-854,572,572,-572,615
14013,-30077,-2570,419,572,-572,617
11247,16327,30458,-192,-169,-505,616
-23781,-2608,17916,-81,-537,-128,614
-29400,-1804,21319,171,-145,64,612
17396,990,26261,137,105,76,608
11306,-2706,26477,-49,133,68,599
11071,-6089,20407,-108,79,13,602
14160,-6972,19240,-5,-43,-10,603
15445,-4707,20799,12,-52,2,600
13993,-4765,20093,-48,-24,8,603
12699,-6148,16915,-105,-67,3,602
14523,-7913,15003,-85,-79,-6,601
15376,-7756,15013,-45,-18,0,598
13160,-7580,15650,-40,24,6,595
10002,-7344,15141,-61,9,2,595
10051,-7501,13915,-77,-76,-12,598
12052,-7962,12346,-59,-119,-27,596
12934,-7413,11424,-31,-90,-18,596
13444,-6197,10512,-40,-76,33,596
12748,-5275,10375,-60,-96,97,594
11365,-5275,8364,-75,-110,116,592
9521,-5128,4765,-29,-84,70,591
