ax,ay,az,gx,gy,gz,flex
7864,-14474,6374,2,49,53,485
6648,-13503,5766,-92,72,75,482
6864,-13415,4059,-144,34,101,476
6207,-12758,2177,-139,25,129,463
5373,-10845,2137,-135,32,171,445
1627,-7619,-568,-115,21,240,432
-5530,-5844,-2157,-86,-102,250,411
-9649,-5138,-1745,-74,-177,205,385
-13719,-1902,-2373,-49,-175,124,369
-16945,1451,-1392,-42,-113,15,357
-26437,5501,-2883,-84,-32,-190,347
-28556,9757,-4128,-114,-68,-469,338
-32174,16631,-1951,-20,-39,-572,334
-30684,-32097,-333,20,-94,-572,334
-18906,-12484,2324,-60,-233,-572,336
7148,5834,990,-242,-329,-572,344
-6904,9139,-3677,-354,-120,-572,349
-13475,10041,-9825,-526,224,-572,347
1588,-22516,-20416,-360,572,-572,346
-6806,26643,-13189,156,29,-321,351
-24585,15445,-3569,294,-240,183,355
19024,16474,2520,324,-15,507,365
-4266,19622,1363,230,210,572,369
-24095,24084,-755,143,226,572,368
32125,25888,-29,105,136,572,367
25810,27222,804,21,186,572,368
20093,27575,49,-91,281,572,359
12101,28399,-3461,-179,340,572,354
3716,27242,-4030,-230,278,572,352
-2785,25555,-2863,-250,199,572,355
-13630,26849,-1755,-258,111,572,361
28959,30066,-7217,-389,-115,572,365
10797,-32724,-16445,-572,-473,572,368
19251,15229,-14905,-572,79,150,371
6051,17690,-11090,204,572,-350,371
-12532,-17034,-9267,572,572,-572,373
13700,16464,3991,572,-252,-572,380
-16611,-10690,11061,359,-572,-572,396
-30744,7972,10581,-163,-572,-572,414
9874,11404,6893,-572,-450,-572,425
-28812,-25007,-402,-572,246,-572,427
19396,32321,-6217,-519,572,-572,430
-579,7854,-6011,-41,225,-399,441
-17466,-7169,-5275,159,-396,71,458
-19662,-20957,1716,243,-487,307,471
-24291,-24664,2863,171,-69,482,481
30487,-23457,-1980,-116,302,572,487
21269,-23997,-6893,-444,417,572,492
16298,-26998,-8874,-572,361,572,493
15709,32664,-7550,-572,304,572,492
17857,28575,-5187,-572,352,572,480
16258,25937,-4746,-495,420,572,459
12238,23084,-5079,-411,317,572,448
13120,19828,-4403,-399,220,572,434
14454,15317,-3402,-428,284,572,417
11296,11875,-4736,-452,373,572,410
6501,8247,-5422,-440,315,572,405
4324,3746,-4275,-420,242,572,400
3177,-166,-4452,-383,238,572,394
245,-1882,-3755,-339,216,572,387
-1323,-4010,-3932,-304,154,572,383
-1804,-5775,-3540,-278,117,572,379
-2794,-6717,-2726,-247,153,571,375
-3765,-7570,-2343,-218,196,556,369
-6962,-7472,-2510,-180,177,572,365
-9963,-6746,-804,-149,68,572,363
-10943,-7413,147,-159,-12,562,356
-11679,-6923,-362,-132,-29,546,349
-12424,-5805,568,-88,-27,572,348
-18190,-3971,1598,-79,-32,572,348
-24447,-2745,1765,-126,-70,572,347
-28271,-2598,2716,-174,-138,482,347
-27889,-1618,6011,-176,-131,438,351
-31017,519,7933,-219,9,401,355
29586,1578,6089,-289,82,340,357
27968,2814,3873,-344,46,230,358
30096,3726,1578,-423,-17,144,359
32303,5364,-2157,-544,-78,65,360
-31684,6972,-9924,-572,-142,-26,359
-25329,6805,-15847,-572,-116,-83,355
-24662,6511,-18661,-572,48,-81,352
28939,4118,-18465,-572,147,-137,349
12465,11748,-11630,-424,335,-284,352
-4049,-32293,-2794,-237,572,-572,360
-11894,-19094,5246,18,572,-572,372
26909,2726,24790,156,365,-572,409
25977,16866,30497,418,148,-572,474
24299,16592,-2109,572,120,-572,526
13581,16376,-29106,-139,354,-572,548
-7963,26516,-27732,-572,572,63,519
30213,-26094,20486,-286,-572,-301,535
-4698,-5011,205,486,-172,-244,531
-27194,5962,647,443,359,119,530
17827,-647,2353,193,284,165,530
16651,-6472,3020,170,76,22,530
18190,-7648,2696,251,-38,-107,531
21515,-1431,4030,310,10,-115,532
19887,-735,4805,277,122,-17,532
11875,-1157,3922,286,214,12,531
5226,-353,2794,316,102,-63,526
7148,1667,4550,311,-7,-130,524
9678,3255,5756,245,42,-155,523
6854,2598,5579,185,117,-224,523
4471,2765,5069,189,117,-327,522
4206,5060,5805,181,67,-379,521
4344,8315,6119,160,-54,-415,520
8041,11512,6197,116,-149,-536,519
15984,13964,9247,109,-112,-572,519
