ax,ay,az,gx,gy,gz,flex
19720,29811,4520,469,-538,181,356
23780,26212,5550,513,-263,214,369
19926,23721,4069,396,83,396,372
11159,19357,1186,262,250,559,374
7884,16337,911,187,251,572,377
4736,16317,2078,109,192,572,378
5511,18553,2157,14,215,572,366
2618,23554,3746,-101,192,572,348
-4903,29124,6325,-181,163,572,332
-13091,31321,8678,-230,46,572,334
-20132,-31518,8296,-217,-102,572,331
-29811,-24242,6148,-217,-194,572,325
20133,-26017,-284,-396,-327,572,318
-9315,-28468,11238,-572,-178,572,331
-28075,-14083,3196,-572,572,-320,339
-31007,-1638,-18269,125,572,-572,331
-11012,17984,21554,572,468,-572,359
-15288,-17300,-20251,572,-572,-572,387
2617,27712,1735,-572,175,-572,374
-31568,-23007,-26860,-372,572,-572,378
-17682,-16691,-27390,572,572,-518,383
-31656,8933,-14112,340,259,460,383
29075,-19103,-22683,269,-572,451,391
-24938,-21388,29105,218,-572,572,399
10924,-7856,18641,257,57,572,398
-25478,6913,11444,92,233,572,396
18749,11139,7541,-90,92,572,396
13267,8443,8727,-123,-136,572,395
7550,15229,10139,-108,-70,572,391
-10649,23946,8345,-254,4,572,384
-32282,-28988,10169,-572,-93,572,376
2982,-31930,5295,-572,-1,572,350
-27947,12777,-6128,-572,170,572,339
26537,-9964,-2765,-58,572,-171,344
-195,32419,5638,572,572,-572,359
12239,19631,29938,572,110,-572,399
-12993,-21565,-29567,-24,-572,-572,417
19936,17768,-22379,-572,-555,-572,409
-9366,18219,-19045,-572,572,-572,409
-28165,32645,-13846,-572,572,-572,373
31262,-16318,-24466,336,-78,25,364
20985,-12229,10786,572,-523,162,375
11698,-22075,20044,414,31,572,383
-17456,-27390,11208,313,297,572,380
23525,-12955,10541,260,216,572,384
14817,-7993,4324,62,-101,572,387
15866,-12612,2333,-35,-159,572,388
11375,-19456,-186,-7,92,572,387
4922,-25448,-3706,28,275,572,384
2500,30213,-5158,25,357,572,386
725,22348,-7472,-42,433,572,382
-431,14689,-10885,-77,400,572,373
1618,9492,-10865,-4,382,572,380
1686,6060,-9100,58,412,455,382
2716,2000,-6962,45,430,377,384
2971,-2765,-4716,53,435,385,382
1382,-6128,-2843,91,420,323,380
2284,-8286,19,135,452,262,379
1441,-8639,2637,121,465,247,379
-2441,-8600,3834,39,436,235,380
-3912,-11296,3079,-23,350,205,377
-3853,-11708,2824,-5,293,225,373
-4658,-9982,4324,-23,277,295,373
-7011,-9590,4501,-111,259,361,372
-8109,-8747,3157,-136,272,425,365
-11032,-5903,3687,-120,266,503,363
-13925,-3089,5726,-185,224,566,363
-17857,-2530,5089,-269,173,572,359
-22515,-853,5471,-259,61,572,355
-25535,1765,9217,-282,-53,572,356
-27134,4010,11875,-396,-61,572,356
32489,4716,11287,-496,75,572,353
24105,6658,9335,-572,138,531,353
18456,9168,4677,-572,60,408,353
16622,8551,-3961,-572,-112,255,348
18505,9600,-13473,-572,-279,57,343
19800,14533,-16464,-572,-212,-91,341
3080,20916,-11748,-572,134,-283,339
-29771,-21977,-5187,-572,457,-572,344
-22250,225,-18141,-572,428,-572,353
22477,-6061,-26918,-390,432,-572,372
18877,-20663,-14464,428,31,-572,443
5265,29065,15150,-105,-346,-572,518
-8405,-4698,-2785,344,572,-572,563
-19839,25104,-13150,-368,572,22,558
9090,-30017,-14699,-506,-572,-212,563
-6845,-8198,-1774,-43,-572,34,549
21064,-9070,6119,42,-3,140,554
-14493,-8502,372,20,438,54,542
-323,-6158,735,33,59,-225,535
13160,-4687,5216,243,147,-322,529
18092,1039,6168,289,354,-280,530
12659,2235,5599,257,453,-231,530
4873,2647,4687,248,325,-253,528
3765,5638,5501,287,130,-349,524
4579,11561,5668,248,14,-413,509
3530,15935,4148,143,20,-433,510
3343,18357,3677,83,-43,-487,505
6805,21652,6717,148,-45,-572,507
11904,31115,13954,135,55,-572,510
