ax,ay,az,gx,gy,gz,flex
28928,27232,10551,59,-318,235,460
-31685,30125,10630,181,-369,339,465
-21467,-24360,11345,272,-316,529,471
-26792,-12631,8188,33,-212,572,472
-27762,-16073,5207,70,-386,572,472
-20731,-11504,1755,184,-323,572,467
-29498,-11288,-1627,191,-223,572,453
27918,-17868,-1461,252,-168,572,441
16513,-25125,2481,253,26,572,433
3196,-31901,4050,152,227,572,429
-6276,25251,3020,29,270,572,425
-10757,16994,1814,-27,215,572,420
-13934,11767,941,-4,114,572,416
-16670,8668,1618,-7,4,572,414
-17847,6629,1667,-32,-117,419,409
-16611,5628,1882,-39,-188,254,405
-15248,4942,2863,0,-176,116,402
-15317,5109,4099,23,-121,7,400
-16131,6893,5952,-6,-64,-114,394
-19475,9041,6629,-87,12,-339,388
-20161,11767,6109,-110,7,-572,386
-17043,18014,5599,-156,-9,-572,384
-11345,26516,5216,-221,1,-572,383
-4687,-29018,5167,-310,24,-572,382
-745,-9709,-2559,-457,-239,-572,377
-5120,14062,-22181,-572,-572,-572,386
29830,-15710,-294,-409,-153,-446,387
9217,21838,7365,-403,572,-517,385
14934,-7874,-24192,262,-403,-250,389
32027,-8462,-13071,283,74,98,395
4677,-1314,-3746,250,121,364,401
-9474,7433,-1392,171,-79,548,405
-12494,17023,-4079,116,-134,572,409
-27507,20995,-8384,111,35,572,412
22525,21397,-7472,202,37,572,413
15621,21220,-5285,223,63,572,415
7531,17023,-3059,196,173,572,416
480,13111,-1774,154,229,572,416
-4716,10277,-931,119,209,572,416
-8668,7776,500,78,149,453,415
-13797,5746,1490,43,74,301,414
-15454,5099,2294,22,-33,140,414
-14876,5246,3196,-2,-77,-28,414
-16484,6383,4599,-21,-79,-177,415
-21564,10502,5913,-53,-113,-326,415
-22270,15749,6119,-154,-188,-546,414
-20965,20112,6119,-253,-216,-572,414
-15484,31046,5275,-358,-219,-572,416
-7688,-23261,1343,-488,-151,-572,417
-9620,-2815,-11895,-572,-361,-572,420
-3972,26575,-15543,-485,-572,-572,431
-2933,5344,11082,-572,420,-572,436
5795,-32401,15495,-566,572,-255,421
-5443,4599,27027,108,-572,-246,425
-28096,12826,-26398,378,-572,99,431
10473,17033,-14042,186,213,480,433
-9415,25143,-15582,239,-15,572,444
-13896,32615,-14376,312,-350,572,460
-20780,-28939,-14748,343,-268,572,465
-25919,-25340,-15994,318,-181,572,460
-29302,-25772,-12522,442,-126,572,455
32459,-25497,-9217,435,112,572,453
24202,-24997,-6236,326,158,572,453
20024,-30371,-3177,242,5,572,456
17376,31341,-2510,230,-126,572,457
15062,27016,1490,276,-139,572,458
8051,28918,3030,249,-100,572,457
1245,23809,3089,215,-149,572,455
-1245,21417,2785,234,-168,572,452
-7854,21691,4157,252,-98,572,445
-21171,22240,7668,217,14,572,439
26331,24329,16611,178,292,572,435
2099,28222,6413,-22,572,572,438
5090,21269,-11806,-191,47,215,444
29684,15199,-13552,-259,-572,-165,451
-13101,9355,-4618,-153,-543,-61,457
-21985,10718,-1059,-84,16,144,465
-32213,14807,-715,-121,131,96,470
29802,15356,-1461,-212,-26,-95,474
-32449,14229,19,-268,-172,-251,477
-29713,12659,2324,-264,-148,-341,481
-28448,12914,2618,-240,7,-433,484
-29889,14660,1902,-235,126,-535,487
-30772,15856,1431,-232,170,-572,489
-27791,17857,1559,-188,190,-572,491
-20603,20995,1500,-127,175,-572,493
-15415,22103,4373,-117,202,-572,494
-7560,23054,6785,-140,267,-572,494
-882,25084,7256,-91,331,-572,494
4608,30997,8443,-3,359,-572,496
14670,-25438,16729,-100,366,-572,497
-31518,-23869,27193,-51,506,-572,498
-13494,-20555,-29390,-8,572,-572,498
-23438,-28949,14385,-572,526,-572,493
-4727,1284,-21956,-572,-572,-572,470
15935,-12581,-12306,87,-572,-263,461
-6296,-1431,-5148,64,572,-48,459
32625,2275,2598,34,572,5,459
-27302,-88,4265,-101,86,-65,455
-21781,-3608,-127,-105,-145,-46,444
-21869,-2490,-598,-49,-69,18,443
-26203,-166,1088,-9,83,145,443
29419,333,3275,-25,75,261,442
21152,-804,2834,-30,3,269,439
16249,-1372,2755,1,-28,232,439
13140,-2461,3353,14,-31,204,440
11542,-3667,2618,23,-15,171,441
9688,-3902,2010,33,18,142,443
5520,-3383,1990,39,42,102,446
2147,-3363,1372,45,-4,54,447
1304,-2549,78,48,-66,-3,448
1157,-745,-1451,74,-116,-28,449
3334,-607,-784,123,-87,-3,450
3746,549,2314,194,53,39,451
-2147,3098,3991,183,186,68,452
-4765,5687,4010,125,223,2,453
-3069,4334,5383,180,271,-89,454
-6021,8757,4922,159,285,-185,455
-4314,8855,4844,144,209,-344,456
2412,10139,9600,257,249,-498,457
1461,22025,10551,278,267,-572,459
10149,23084,12787,271,166,-572,462
23466,31095,24947,396,246,-572,466
22083,-18309,24486,252,249,-572,468
31909,-23889,21446,102,133,-572,467
-29145,-25203,29477,293,273,-572,467
28507,-21251,25182,271,331,-572,465
27810,-25144,19897,238,120,-572,460
29919,-31038,17622,257,-32,-572,456
26065,31743,17141,217,-74,-470,452
20357,27585,14101,103,-162,-362,447
16317,24104,10718,35,-269,-308,445
18592,21838,8502,7,-265,-282,437
18798,20926,7021,26,-163,-237,433
18838,21377,7276,41,-76,-178,434
15778,21524,8227,20,-21,-79,433
13307,21711,8943,-18,-9,6,429
11649,20995,8806,-59,-10,80,425
9198,20544,8698,-58,-20,124,423
8227,20828,9590,-46,-33,161,421
7109,20818,10365,-69,-37,188,419
5256,19965,9139,-40,-16,183,418
4138,20632,9482,-24,-6,184,419
2941,20622,9776,-40,4,181,419
