ax,ay,az,gx,gy,gz,flex
17906,156,3540,17,82,-18,367
17543,804,3216,32,-20,-26,377
21073,1490,2235,86,-154,-68,391
26967,1510,490,201,-202,-93,394
-31077,4442,774,295,-175,-46,424
-24311,7903,2853,283,-92,175,467
-29763,10806,4795,125,-59,402,486
29134,11767,3098,43,-59,477,489
22181,11345,1706,82,-95,502,495
20191,7050,4520,141,-113,507,495
15935,7080,5011,141,19,516,494
11385,4530,5609,114,121,510,487
5687,-78,3853,37,131,492,479
5275,-4187,4128,38,74,428,478
5560,-2333,5726,24,97,386,479
902,-3765,4716,-41,108,353,470
-2971,-6462,-245,-116,3,307,454
-1490,-6217,-2677,-89,-44,214,440
-500,-8972,-1088,-26,64,110,430
-5991,-9012,-3177,-19,151,-3,424
-9963,-9316,-4540,-58,92,-155,417
-8119,-8364,-3549,-145,51,-279,417
-5540,-5795,-1559,-217,160,-380,419
-4030,2167,-637,-274,309,-518,424
107,1627,2853,-194,483,-572,434
8963,4707,9786,-65,534,-572,440
20936,9884,11041,-133,277,-572,441
-11454,6040,9286,55,-135,-572,444
20397,5726,10169,108,47,-572,448
14474,-2745,637,48,350,-398,449
1637,-3765,1882,167,54,-308,451
10296,-2667,10012,121,-240,-92,454
127,-5687,9943,26,-16,357,456
-21231,-2088,8315,33,-107,459,457
-23065,4638,8119,51,-289,447,462
-19760,11032,7943,46,-303,572,467
-27154,14582,5334,71,-193,572,470
30076,18161,3471,115,-158,572,472
22387,17347,2883,95,-118,572,474
14493,14032,2392,64,-24,572,475
5893,10188,1559,81,19,572,474
-235,9414,1951,77,48,572,474
-6089,7825,2451,21,90,504,474
-11444,6746,2000,-9,82,344,473
-16464,6648,774,-19,39,127,472
-20505,7629,578,0,-44,-99,472
-20671,9786,1794,0,-98,-301,470
-19838,11591,2118,-19,-44,-498,469
-19740,13777,2382,-26,32,-572,469
-15003,18661,3020,-9,53,-572,469
-7227,24996,4157,5,120,-572,472
-4461,-28812,2579,-25,-80,-572,474
-31734,705,-5726,-164,-572,-572,475
23593,12630,-20407,-546,-567,-572,467
-32666,24153,24526,-138,572,-81,445
-1638,5393,-21907,234,-145,-39,443
21740,4550,-5707,195,-357,290,447
941,2647,-1353,173,51,572,449
-13426,14719,1627,112,-36,572,457
-2138,27349,4765,-78,-13,572,464
-21369,28163,4844,-180,334,572,466
28487,-27782,8070,-340,309,572,470
17926,31056,7923,-572,292,572,472
19651,24770,7570,-572,185,572,473
10571,21946,5432,-572,213,572,475
-1480,19436,-1265,-572,108,572,475
-9227,17151,-7737,-572,-56,572,476
-15366,17278,-11502,-572,-91,572,476
-29222,13513,-19955,-572,-92,572,467
32067,9855,-27173,-366,-30,511,464
-23182,6305,-22309,-121,26,230,465
-14778,2922,-19455,-60,-18,71,470
-11512,-539,-18690,-40,-47,54,480
-13807,-137,-20181,-17,-2,61,484
-18651,921,-23633,30,66,-12,490
-21750,902,-23937,114,50,-124,493
-18945,1451,-24408,154,74,-214,501
-17053,490,-24790,262,124,-294,513
-13885,-1402,-24378,436,158,-377,511
-12718,-1794,-20014,572,173,-446,516
-10404,-941,-18396,572,152,-488,516
-4275,2098,-11061,572,197,-476,514
-6560,-1765,-6629,572,288,-464,506
-10708,4912,-8119,572,101,-572,527
-990,16239,3334,572,128,-572,535
-6266,21407,12081,572,291,-572,537
0,30340,26790,572,91,-572,534
8188,-32254,32674,572,4,-572,537
23035,14307,24408,572,-356,-572,540
-21496,-813,14150,524,-572,-428,541
27006,9943,27438,184,199,69,531
3275,1157,21593,-101,360,-3,529
6795,-7864,15199,87,-85,-220,498
23996,-1382,20299,348,-237,-321,494
30595,2735,26408,349,-162,-255,480
32468,5913,27575,193,-116,-165,477
-31253,3275,27546,9,-216,-62,448
30929,1569,22358,-74,-280,6,425
31331,2304,19298,-86,-337,17,400
27653,784,15925,-99,-255,57,370
22789,-196,13464,-109,-256,61,360
19671,2990,9355,-118,-250,55,362
20789,1549,10247,-204,-227,82,348
18455,-1618,6609,-223,-91,106,348
15827,-1843,4206,-143,-12,71,349
14356,-1225,5501,-92,-11,42,367
15190,-2549,6040,-92,-39,40,365
15141,-2441,5413,-104,-25,33,368
15592,-3491,3981,-83,-30,31,366
16376,-3785,3942,-50,-16,14,367
15141,-3196,4648,-37,-2,8,365
17337,-3216,4795,-44,-24,0,363
18151,-3932,4363,-32,-14,-8,372
18671,-3491,4540,-13,37,-22,368
