ax,ay,az,gx,gy,gz,flex
32115,24211,7295,-61,-117,308,550
32380,26408,5413,-49,-283,396,544
29693,29389,3010,-77,-501,491,540
-25311,30723,-5285,-38,-545,572,535
-26870,-32411,-12287,58,-572,572,522
-27851,-29449,-20397,271,-541,572,501
-28841,-29175,-22436,472,-495,572,472
29674,-28243,-29350,572,-458,572,447
27065,-27478,-28163,572,-458,572,432
22476,-29861,-20573,572,-224,572,423
13542,32086,-19083,572,-1,572,425
6727,30880,-14797,572,11,572,430
4540,28575,-9796,572,-11,572,430
715,23044,-8060,572,-61,572,433
323,22181,-5972,572,-130,528,440
-755,19857,-1470,572,-117,499,447
-2137,17818,5815,572,-26,448,454
-9806,14130,19730,572,141,388,464
-19092,12709,-26105,572,192,330,471
-22603,6844,-6071,288,268,279,476
28949,8511,5393,-72,222,142,482
22055,16307,-334,-476,-102,-86,487
-30752,29575,-16367,-572,-320,-279,491
-16602,-21369,-29194,-572,-217,-372,493
-17367,-9150,25418,-572,-90,-383,494
-8433,2882,19789,-572,-132,-553,495
6874,15209,21024,-572,53,-572,503
4206,-27066,-666,-572,166,-572,507
-32283,5383,30155,-572,-391,-572,512
-13082,-5041,-30978,-572,-572,-214,513
2735,-10592,-31635,-572,287,-19,504
13601,29232,-9149,-572,-157,-107,501
12836,24957,-8943,-476,317,-97,501
14444,15248,-1460,-168,-55,-98,500
22662,17710,13475,-68,136,-66,500
16504,14601,20604,-4,229,-43,501
13591,13346,24379,70,132,-18,502
14876,15121,31940,202,119,-7,505
13895,16749,-23672,287,320,0,509
12248,17445,-14984,322,572,8,513
7668,14699,-9865,288,572,49,515
4971,14866,-6021,282,572,94,515
5844,13817,-1588,194,572,96,514
7982,12836,1431,103,572,92,514
4040,10532,647,-7,572,109,516
1853,9070,-627,-33,572,135,517
-5266,8276,-1353,67,572,55,518
-3314,9992,2696,103,556,-134,518
-353,11512,5315,90,406,-306,519
-1618,12552,5315,77,322,-443,520
-49,15690,7207,67,136,-443,521
1519,21005,9296,0,26,-489,521
2696,23917,10110,-51,-20,-572,521
3608,28899,9845,-30,-41,-572,522
6276,-30675,9688,-5,-79,-572,522
10247,-26086,8913,20,-127,-572,524
17053,-25448,8149,67,-141,-572,529
21642,-29008,6374,142,-63,-572,538
22966,31213,4756,148,90,-527,546
18543,26339,3187,194,214,-353,549
13042,24966,2843,287,265,-236,550
