ax,ay,az,gx,gy,gz,flex
23849,2039,1019,7,-35,-45,488
23868,2206,1441,5,-77,-77,490
26133,3373,921,-4,-231,-136,490
28928,5305,-1206,-6,-375,-162,491
28203,10816,-7344,37,-572,-158,491
31017,16464,-13817,95,-572,-145,489
-29606,18926,-21250,156,-572,-156,468
32606,24839,-30870,315,-572,-122,449
-29106,27369,-31194,572,-572,-6,432
29546,29007,-31154,572,-429,197,416
26457,26408,-26585,572,-332,349,401
24192,22927,-16160,572,-184,535,394
18220,24545,-5138,572,47,572,393
1304,27359,2686,572,72,572,390
-4540,23417,9924,572,-229,572,388
-10796,24084,20269,572,-286,567,388
-17337,17994,27418,572,-302,479,389
-23760,7080,-25703,572,-209,410,390
-22838,-14915,11522,572,225,461,396
-2422,794,21691,79,572,358,405
-1598,-3500,-2276,-572,-233,-387,408
-25741,3863,-13818,-572,-466,-537,411
-17857,10384,-20192,-572,-225,-525,413
-24045,23152,-19868,-572,-17,-572,422
-4648,-15112,-20084,-572,-283,-572,432
1823,-8434,20053,-572,-71,-403,433
7688,20161,1147,-572,2,-561,441
-28468,-18976,-16180,-572,-177,-324,449
-16054,26751,9552,-572,572,202,445
-5089,-20565,3962,-572,301,138,434
7040,30997,15632,-543,88,-159,437
22662,23348,20388,-298,264,-144,442
12032,22260,27704,-214,218,-74,448
14925,21093,31734,-194,34,-128,458
17641,18484,-32537,-131,65,-80,467
15170,17367,-28663,-46,46,-26,478
13052,13787,-24349,-2,62,-23,487
13140,12483,-19651,27,72,-18,495
12581,11728,-15219,44,-24,-8,503
11267,12434,-11953,62,-77,-2,510
8629,13150,-10178,76,-63,-2,517
5344,13591,-7923,94,-48,-24,522
4628,14170,-5491,84,-40,-49,526
4795,13483,-3755,70,25,-50,529
5236,11208,-3442,56,125,-49,531
6383,11287,-3118,39,223,-64,534
4746,13679,-3265,1,285,-42,536
4403,14483,-3187,-35,261,-35,537
