ax,ay,az,gx,gy,gz,flex
9139,21044,6776,-83,-169,190,525
10404,22181,7570,-139,-253,279,511
11669,21868,6776,-127,-412,340,522
15062,21887,5089,-27,-564,375,519
17965,24898,3314,45,-572,399,512
19936,26634,49,120,-572,405,504
22476,27595,-3961,218,-572,387,499
26173,27840,-6766,317,-572,370,483
24162,27732,-11365,386,-572,362,460
20907,24947,-15719,524,-572,314,439
19112,24241,-19406,572,-572,238,412
14719,22780,-24633,572,-572,126,396
14346,18553,-23162,572,-572,33,385
8717,17249,-25084,572,-572,-54,376
8541,11355,-19132,572,-572,-119,370
6481,12689,-14827,572,-318,-122,366
382,4481,-8708,572,-43,-73,361
-1814,1049,-5295,572,-176,-67,358
-2765,-2892,98,572,-204,-57,355
-3294,-6481,3481,572,-234,-41,353
-4805,-11542,6119,572,-231,-48,351
-5158,-13218,10208,484,-237,-65,352
-4893,-15180,13415,290,-188,-67,352
-5236,-15503,13621,117,-135,-58,353
-5913,-14876,11993,-41,-95,-61,357
-5236,-12669,9953,-171,-87,-86,360
-5462,-8923,7982,-312,-100,-100,365
-3638,-5158,5717,-480,-121,-102,367
-1235,-1176,2696,-572,-54,-117,369
-1676,6109,804,-572,6,-155,372
-235,11718,-294,-572,59,-198,374
-500,23025,-1971,-572,98,-245,378
-1794,-29488,-9835,-572,-38,-324,384
13336,-24693,-22230,-572,-299,-344,387
-28880,-28498,30283,-572,29,-141,387
8404,18318,10709,-572,502,74,375
-11512,-15023,-30938,-412,-495,-24,372
30723,18269,-6178,515,-483,-171,379
7060,8659,-27546,-82,572,-84,380
-3540,6785,-22436,-23,190,-37,381
13169,8100,-19475,23,-289,-14,381
7364,3912,-25653,-145,93,30,380
5256,2647,-26290,-27,-63,11,380
6658,3746,-22897,10,52,13,381
5256,4805,-19445,36,42,24,380
2834,4716,-16906,22,76,17,380
4510,5403,-15307,35,14,14,380
3726,5324,-15042,-11,62,14,380
4050,4079,-16513,-17,25,10,380
5550,4579,-17318,-19,34,18,379
4285,4010,-17759,-28,65,15,378
