ax,ay,az,gx,gy,gz,flex
7197,8904,13179,-329,-456,11,529
16768,8698,12709,-426,-572,-64,506
30968,8923,12316,-421,-498,-40,450
-29675,11444,6187,-359,-494,85,371
-22663,11983,-2039,-367,-238,287,306
-20692,10688,-13464,-256,55,392,270
-18996,8904,-24202,221,19,438,270
-16132,18033,-14827,532,4,556,271
-24134,13905,-5560,504,53,572,274
-28822,12022,6619,572,-48,572,268
-32548,13169,25967,572,-12,572,263
26035,14719,-17770,412,128,572,274
7678,4412,-8728,58,95,572,273
2883,3736,-4767,-140,43,572,278
4442,1745,-12818,-477,206,572,284
-2892,-3039,30674,-572,245,543,282
-7197,-6835,21544,-572,-16,426,282
-15817,-9188,27585,-572,-141,315,279
-25143,-794,23878,-572,-342,106,284
-16700,6580,16925,-572,-560,-86,290
-12905,-25223,12238,-572,-531,-169,292
-15160,21299,1343,-572,-572,-226,295
10747,-28694,-14974,-572,-418,-151,296
-18397,-6659,5894,-572,539,-277,296
1147,14582,-30046,-572,-151,235,284
18612,3559,21310,342,355,571,288
-20877,10610,26929,339,572,162,292
-10482,20112,-25584,572,59,-126,295
13307,27261,-18602,540,-316,-69,296
14297,29232,-16298,572,-206,-30,297
11189,27722,-10757,572,79,-60,297
12640,17739,-7913,572,315,31,297
8580,12365,-6266,572,494,194,298
5118,7648,-3942,572,528,227,300
6580,2696,-2049,517,572,228,304
4922,-2628,-117,421,572,242,308
4942,-10071,921,332,572,218,312
4648,-15160,853,365,572,150,316
-5775,-14072,1569,374,542,17,323
-5520,-18514,10532,389,231,-136,338
1294,-15229,18769,418,192,-342,368
-1794,-11208,16660,240,45,-568,417
1980,-13022,1196,260,-410,-572,461
26898,-9512,20053,250,-325,-572,505
27879,-7325,17435,211,-66,-572,534
24682,-6070,16533,174,65,-544,545
19475,-4412,12640,142,-31,-443,548
24133,-2441,11257,134,-218,-422,549
24672,-1941,9845,128,-207,-409,550
22642,-1470,8659,126,-123,-359,550
