ax,ay,az,gx,gy,gz,flex
14179,22103,6746,-141,-108,109,539
12297,20612,4304,-161,-129,150,540
13993,19377,3618,-138,-205,157,540
13522,19612,4118,-95,-200,165,541
14258,19740,4746,-79,-185,201,541
14307,18435,4471,-98,-146,226,541
13209,17406,4050,-121,-65,221,541
10630,16072,3167,-137,-3,197,540
9119,14591,2883,-147,35,169,536
7678,13395,1510,-129,42,122,529
9208,13473,-1745,-31,14,59,523
18171,17219,-1176,159,68,40,520
22593,25888,-2157,310,218,3,520
23525,29791,-4079,462,373,59,512
24290,-32038,-4697,572,383,255,487
25525,-27566,294,572,352,382,470
23613,-30165,2892,572,372,478,439
22054,-32469,4030,531,225,555,376
25270,27457,7413,419,66,572,317
24486,27810,10414,273,-85,572,287
23515,23044,16337,75,-85,572,274
21740,19946,12326,-130,14,572,272
13768,14111,9669,-115,-62,572,271
9806,10669,12993,-126,-126,572,273
6109,7266,15798,-184,-102,572,275
-1314,892,14837,-217,-79,572,278
-6138,-7040,16690,-223,-182,572,282
-2990,-10806,18936,-295,-171,572,285
-2275,-16288,15876,-417,-92,510,287
-3304,-18592,10963,-470,-99,387,288
-4638,-18249,8237,-529,-84,261,290
-6050,-14621,6795,-572,-136,155,291
-5050,-7845,4216,-572,-144,59,293
-8296,1265,1137,-572,-141,-84,295
-7207,21113,2343,-572,-151,-227,297
-8080,-24213,-2226,-572,-108,-319,300
7639,-8993,-14062,-572,-50,-467,302
-15406,-18495,-31801,-572,492,-418,303
21809,24427,18770,-522,455,75,301
2216,1245,10082,-290,6,227,300
3039,5167,27174,224,-24,-79,302
11679,12238,-17720,297,50,-90,304
8972,8031,-12522,168,44,30,304
4569,5785,-12797,109,-1,0,304
8158,4785,-13866,59,-17,-49,304
11238,3314,-14680,24,13,-51,305
12228,3765,-14915,-8,22,-30,305
11326,4471,-16200,-18,10,-8,305
10188,4922,-17102,-7,-17,-2,306
9316,5256,-17926,16,-43,0,306
8639,7001,-19553,54,-79,10,307
7403,9286,-22387,109,-134,23,307
8315,12444,-24457,191,-169,22,308
13787,15160,-21838,287,-39,58,310
15445,16102,-18847,338,290,156,311
12954,13954,-17161,331,538,231,313
11247,10169,-14503,354,561,316,315
11698,6933,-10826,314,572,375,319
6550,3039,-10757,264,572,348,325
5903,-294,-7256,279,468,273,338
4756,-2010,-5785,226,330,183,360
3069,-3442,-9610,149,137,62,388
-4569,-10708,-31370,414,-367,-117,407
12816,-7423,-9198,416,-391,-207,438
14003,-6903,-7256,274,-382,-261,462
11836,-9404,-4354,115,-135,-204,478
7982,-8629,-5991,-58,-12,-226,494
8345,-11904,-4206,-112,85,-255,507
9178,-11718,-2147,-124,199,-284,520
13130,-13993,3500,-23,359,-303,529
17523,-13258,10992,194,572,-307,538
8168,-7639,13130,211,572,-302,544
