ax,ay,az,gx,gy,gz,flex
20779,23123,17268,-12,-552,271,537
22064,27751,16876,24,-572,343,540
23103,30448,12277,51,-572,380,543
20328,-32195,9365,101,-572,444,546
19759,-30969,6089,144,-572,509,547
18573,-29939,2343,160,-572,543,546
17053,-30773,-1794,194,-572,501,534
15680,-30655,-6521,284,-572,423,508
20691,-28723,-5707,336,-572,365,490
15680,-32469,-4246,280,-572,317,471
11404,27516,-5275,355,-572,217,412
6305,27320,-7619,533,-486,72,398
6835,28732,-8237,572,-479,-39,381
12993,28193,-4216,572,-278,45,358
4912,25957,-6001,572,-64,128,338
2539,21515,-4481,528,-52,103,326
843,17827,-4550,497,-35,17,318
627,11140,-5207,464,-79,-1,313
2834,1608,-6432,572,-128,-10,312
4638,1127,-2667,572,-24,-3,306
4206,-4746,-892,531,-3,21,325
833,-14268,-1912,526,-68,12,329
5226,-18710,1206,572,-149,-40,338
7188,-19946,8727,537,-19,-24,345
6217,-24417,14748,341,35,89,351
1559,-29840,17102,175,44,112,353
2422,-29173,19799,-1,92,70,350
1068,-28644,16680,-218,134,81,368
2275,-28350,10541,-396,181,106,375
2422,-28408,7599,-464,259,105,392
-3285,-30311,6540,-572,163,40,402
1706,-25633,5589,-572,92,-26,410
-833,-11081,9306,-572,136,-52,426
-774,11277,8904,-572,159,-144,452
-6266,-17162,8090,-572,32,-377,459
-30714,6776,6383,-572,331,-362,468
-14455,7178,-28732,-572,572,60,473
-4912,22946,-4755,-572,161,395,413
-7011,8874,5345,200,205,-61,449
17769,22927,-9168,393,-102,-105,455
14189,10169,-2667,166,224,232,453
-7619,5030,-7756,12,263,167,453
2834,4893,-13758,-66,-112,-135,453
17945,7815,-14533,-105,-287,-200,455
19014,6060,-16435,-86,-30,19,455
9982,7972,-18024,-56,80,88,456
6030,5932,-17788,-35,-6,-4,459
10826,6678,-13571,17,-20,-58,463
12748,7815,-12169,-22,-13,-11,463
10728,6933,-14013,-55,43,45,463
8394,7188,-16082,-61,-12,32,461
