ax,ay,az,gx,gy,gz,flex
20750,21220,8678,210,-572,234,528
26281,27516,6560,265,-572,247,532
28997,29262,1627,230,-572,353,533
25663,30840,-3618,238,-572,478,534
21240,32635,-8256,302,-572,517,530
20573,-31803,-11561,421,-572,514,529
21015,32488,-11267,483,-572,485,511
18994,32547,-15513,572,-549,443,487
12336,-31018,-14562,572,-435,437,460
11846,31243,-15572,572,-373,375,421
10992,28595,-15111,572,-307,355,389
11483,28163,-10992,572,-174,352,366
7050,24319,-8325,572,-16,401,372
2647,14660,-6658,572,-54,342,382
-2078,12650,-6207,572,-210,271,391
5216,8443,-637,572,-244,185,397
3814,5040,1882,572,-67,230,398
-853,-2304,5609,484,-5,163,399
-2382,-6727,11051,399,4,117,400
-627,-13434,17700,264,-18,67,402
882,-20053,22309,103,26,45,403
313,-22397,19563,-51,59,39,402
598,-22966,11826,-219,60,55,396
2814,-24437,4726,-310,39,51,392
3883,-25957,-1755,-368,46,39,383
3951,-29732,-6491,-385,64,64,375
3981,-31448,-8806,-252,146,50,376
3285,-27291,-11797,-303,165,59,373
1323,-27604,-13993,-429,29,23,364
2618,-32390,-17553,-314,-114,-10,366
8668,-24780,-10639,-262,156,74,372
-1647,-16808,-8855,-432,341,92,374
-9100,-9806,-10139,-572,151,-125,374
4265,-10620,-15386,-572,-353,-275,379
18671,-2078,-4236,-572,-18,-51,381
9119,3746,755,-572,339,186,382
-706,17082,15699,-572,282,-37,386
18249,-20741,31752,-572,94,-213,393
24329,-6120,7364,-572,230,-134,388
-980,25918,19819,-572,-371,-190,376
14297,13169,18368,-60,-45,-69,381
8560,16582,-13532,400,398,54,390
8286,11002,4108,168,147,134,391
6030,7717,-1559,-6,183,145,391
313,10581,-14327,-107,28,-64,391
11659,13346,-17955,-93,-202,-244,392
19681,13238,-17945,-82,-78,-101,393
13601,12365,-19710,-20,81,62,393
7619,12689,-17749,50,65,63,393
8168,11267,-13336,59,-1,-2,394
10453,10159,-10581,20,39,1,394
9119,9041,-12512,-14,89,0,394
6325,9620,-14307,20,90,-40,395
8708,11012,-12709,14,30,-68,397
11855,9933,-11051,-27,83,-22,397
7619,8345,-12267,-27,154,5,397
5030,8600,-11149,40,125,-46,399
7364,10188,-8090,14,74,-61,402
12503,8345,-5815,-44,65,16,403
8845,7835,-5923,-44,177,84,403
