ax,ay,az,gx,gy,gz,flex
9767,25771,4059,-196,-180,423,376
11855,29517,3853,43,-434,453,394
12189,30762,-4442,337,-572,419,397
24672,-32666,-17533,572,-572,446,400
28732,-31038,-27604,572,-572,572,403
21319,26281,30263,572,-572,572,388
25457,26428,31028,572,-572,444,377
11659,22358,-31517,572,-217,283,372
7148,17425,-30144,572,-25,50,371
-147,14336,-24182,572,183,-96,372
-225,15788,-10669,572,125,-196,375
4295,17759,-294,572,181,-217,377
8217,15435,9139,572,206,-222,379
11787,11179,16719,572,263,-236,379
14827,3275,17651,438,308,-213,379
15141,-3795,18475,233,295,-141,379
15876,-5138,20799,59,218,-39,382
21632,-5697,23456,-236,209,71,381
18847,-7060,19485,-572,305,259,379
12601,-11826,9325,-572,186,429,381
11336,-14699,5295,-572,101,414,374
10679,-12767,3883,-572,167,262,367
5874,-5334,-1000,-572,19,220,371
1402,-5187,-6717,-572,-181,301,375
2324,1549,-9992,-572,-151,188,375
-4726,12493,-8659,-572,-248,81,379
-4726,22005,-6079,-572,-262,37,385
-6158,-30145,-7717,-572,5,-116,386
6030,-24556,-14415,-572,90,-222,389
7541,-31204,29900,-572,43,-63,391
13218,1853,-2490,-235,-289,19,382
17788,18583,-13199,160,106,170,381
-2873,9835,-7688,0,220,139,375
431,11287,-8619,-53,11,-3,375
4069,9472,-20240,-56,-86,-84,377
12061,10600,-19563,41,-120,-18,377
7531,8198,-16906,63,135,28,371
6491,10071,-14846,36,122,-17,371
7521,9816,-16474,5,23,11,372
8678,7413,-18426,39,-14,15,368
8668,9110,-16298,61,76,-11,365
10218,8551,-16356,26,79,38,366
8511,7933,-16837,33,31,80,366
6393,7089,-17298,103,35,71,359
8227,7619,-13797,111,14,40,356
7894,6256,-14738,114,55,62,355
6580,5050,-17092,184,64,54,355
7796,4726,-16386,235,67,48,357
8031,6825,-12748,150,60,95,360
6344,1823,-13542,35,25,113,358
5285,1372,-13454,23,47,36,356
6511,3216,-12875,-62,34,-18,357
8413,3628,-12934,-197,58,5,359
4550,4020,-15699,-257,35,11,359
