ax,ay,az,gx,gy,gz,flex
774,21534,10924,-176,-58,77,418
4971,22181,11345,-175,-137,154,430
5471,22574,10286,-80,-200,249,438
7678,23172,9521,80,-345,327,447
8600,26075,8845,226,-572,434,448
8698,30546,7884,305,-572,555,460
17700,30105,3285,322,-572,572,472
23947,27751,2275,356,-572,572,464
16121,24319,-6217,434,-572,524,454
15533,22162,-13218,572,-572,483,424
20661,25319,-22132,572,-572,418,411
24104,24643,-19906,572,-572,350,409
16925,24810,-21005,572,-383,333,406
9845,22005,-21054,572,-257,282,406
7678,17298,-20348,572,-202,193,406
4991,14895,-19642,572,-62,148,406
1274,12669,-15925,572,-75,83,409
3363,10688,-11218,572,-65,28,410
1274,6746,-9541,572,13,-26,412
29,3500,-6472,572,6,-113,415
3000,2922,-1441,572,-14,-196,418
6472,98,6089,572,-8,-187,422
10071,-1637,11630,424,-18,-151,425
12493,-3334,13287,306,-25,-152,429
13199,-7139,12659,96,22,-65,431
12444,-12091,7001,-89,5,19,430
11885,-18573,-245,-182,-17,105,430
11257,-20877,-2932,-115,-27,99,430
13366,-20867,-2804,-103,-9,94,431
14140,-20426,-745,-126,12,122,433
15680,-18426,4510,-135,41,112,436
13630,-16602,6285,-279,90,135,442
16710,-19583,2284,-424,97,186,443
15435,-20858,-166,-471,254,167,444
10639,-19740,215,-539,262,132,445
11081,-21475,-755,-572,220,102,446
9306,-22593,-4854,-572,173,173,446
7678,-13885,-7070,-572,16,211,447
10463,-15886,-11296,-572,-26,225,448
10061,-11277,-16160,-555,66,196,448
2745,-813,-14915,-543,87,151,450
4285,421,-17318,-559,-57,94,452
6364,1951,-16994,-503,-93,71,448
3589,10737,-12512,-484,-64,63,446
3108,14356,-11679,-532,-17,22,448
3726,17249,-10855,-555,52,3,449
4236,18259,-12846,-505,106,-37,448
7040,20357,-13993,-454,118,-54,448
7099,15915,-22064,-430,114,-35,446
7786,10816,-30782,-240,-12,-45,444
10865,7697,-26996,7,-33,-25,443
8011,10277,-14680,91,27,0,444
5913,10090,-11816,3,15,0,445
5658,8511,-15405,-21,-34,-19,444
8629,8364,-17278,-3,-35,-10,439
8247,8413,-16582,12,24,11,438
5854,8482,-15650,-15,36,0,440
7070,6972,-15160,-12,-11,-5,440
8207,8100,-14866,-20,-7,2,440
7492,7511,-15023,-51,-19,0,441
8531,7080,-16484,-53,-39,3,442
9227,7443,-15905,-16,-2,21,442
7658,7962,-14552,-38,6,23,443
7315,7766,-15435,-52,-9,8,443
8060,7943,-15562,-59,-20,14,443
8305,7854,-16043,-57,-22,20,444
7344,7815,-16268,-52,10,23,444
