ax,ay,az,gx,gy,gz,flex
6178,15356,14248,-8,-38,-52,323
5413,14523,12846,10,-1,-44,323
5864,15915,13787,27,61,-28,322
4148,18484,14935,13,124,-3,320
3069,18288,14837,-5,133,1,322
2598,16896,13670,-2,94,-10,325
2981,16141,12905,11,68,-20,325
2873,16494,13032,1,54,-13,326
3108,16739,12875,-7,23,-5,325
3402,17112,12748,-3,6,1,325
3844,16925,12405,16,33,12,325
4442,16955,12748,24,90,30,326
3844,16425,13179,26,144,49,326
2745,16258,13209,38,145,39,322
3471,16837,13120,60,112,23,323
5099,18788,14307,18,99,58,323
4167,17837,13415,-42,99,89,323
3706,16337,12140,-31,114,91,324
4893,17720,13199,10,136,84,325
10639,19436,16190,7,173,98,326
16190,19161,17867,-14,173,140,326
23819,19916,21358,-8,113,170,327
31448,22407,28261,-33,63,298,327
29772,24712,-30430,-115,-63,423,327
-32666,32449,-25340,-180,-321,539,327
-28900,-18897,-19427,-259,-484,572,328
29948,-4747,-15014,-389,-429,572,329
22201,1441,-15004,-509,-366,572,329
11718,-422,-17682,-572,-255,572,330
-1431,-9287,-25448,-572,-179,572,330
-9286,-17230,30223,-572,-109,572,330
-13248,-22957,20505,-572,-46,572,330
-15209,-27184,11885,-572,-8,572,329
-13464,-32577,5677,-572,77,572,329
-13934,28516,-1098,-572,330,541,328
-15248,22152,-8001,-572,442,351,325
-13052,15141,-11365,-572,467,167,327
-9404,11198,-13189,-572,557,0,325
-7482,11267,-15072,-533,572,-178,328
-8256,12061,-17651,-443,572,-407,330
-7109,17082,-18690,-219,572,-572,330
-421,29438,-16788,-25,572,-572,331
13748,-26713,-14346,6,572,-572,331
26045,-29675,-14503,215,572,-572,332
-24438,-26772,-10414,530,572,-572,332
-15995,-19976,-470,572,572,-572,333
1676,-20467,8737,572,486,-572,334
382,-26635,9012,572,558,-394,335
68,-25232,13071,572,500,-125,335
12169,-24389,21269,572,464,249,335
2029,-29665,-21231,572,572,572,335
-29008,-23497,-2482,532,389,572,335
29487,30988,-6463,198,-276,572,335
32409,30478,-9827,163,-390,572,336
25074,-32028,-10748,131,-257,572,336
16288,-28949,-13092,-78,-162,572,336
5148,31733,-21379,-240,-130,572,336
-1431,27467,-29302,-324,-175,572,336
-4059,22838,28948,-399,-139,572,336
-6128,20289,22211,-481,-43,572,336
-5883,17229,16092,-547,49,572,336
-4795,13895,10247,-572,180,572,336
-4491,10326,5354,-572,317,488,336
-4177,7913,2010,-572,416,370,336
-2628,5756,-274,-571,502,234,335
-1206,4403,-2029,-534,572,104,335
1019,3500,-3363,-498,572,-10,335
2961,5756,-5432,-446,572,-135,335
4491,7070,-6070,-338,572,-279,335
4687,14474,-4050,-279,572,-410,336
9247,21260,-1098,-284,572,-559,336
13670,26947,519,-138,572,-572,336
24388,-27311,1186,-133,572,-572,337
25751,-28498,-3245,-101,572,-572,337
26124,-17534,-1019,30,572,-572,337
-26233,-12180,2020,254,572,-572,339
-24595,-17672,16611,569,572,-326,340
32488,-10984,28163,572,572,-186,340
-21182,-12004,21417,549,572,-67,341
-13641,-19819,13748,572,476,309,344
-31381,-5345,17769,572,572,572,347
18936,1117,-29322,572,404,572,352
19485,2549,-14857,572,131,572,361
18151,-2668,-15759,572,-60,572,380
16082,-4404,-19486,572,-40,572,421
6040,-5973,-19476,572,80,572,477
-2932,-11690,-26556,572,-4,572,496
-8100,-20123,29566,572,-73,572,498
-11071,-29704,25977,559,-7,572,498
-11836,26133,21103,308,-5,572,523
-10129,18975,12091,130,41,567,518
-9482,12365,12375,58,180,464,516
-10904,8413,7943,-37,168,353,523
-9414,2735,3932,-97,111,276,543
-4501,-3755,1686,-33,73,220,547
-2481,-2922,2000,8,26,130,548
2265,-6364,1716,-5,-41,31,548
8864,-8492,4393,55,-44,-27,549
11846,-4952,4903,44,-86,-84,549
16356,-4971,3647,-7,-90,-112,549
19642,-6227,4030,-31,-28,-115,549
20887,-5942,2883,-33,20,-119,549
21897,-5364,2510,-15,8,-125,549
22515,-3265,3245,-23,-25,-124,549
25094,-3334,2412,-67,-17,-107,548
24937,-4059,1627,-70,27,-81,548
23299,-3304,1716,-52,55,-60,547
23103,-2402,1774,-36,16,-52,546
23417,-2275,2500,-51,26,-41,541
23231,-2343,2294,-56,48,-22,540
22113,-2343,1412,-14,25,-16,540
23250,-1745,2735,9,6,-17,541
